Unnamed: 0,Drug1_ID,Drug2_ID,Label,y_preds_6,y_preds_8,y_preds_10,p_ave
4593,8170,8231,0,1.28E-05,4.50E-06,4.84E-07,5.93E-06
4594,DB00396,DB00661,1,0.95549136,0.838236,0.98465085,0.92612607
4595,DB00443,DB01016,1,0.998922,0.9984796,0.9987099,0.998703833
4596,DB00762,DB08912,1,0.9968439,0.99959636,0.9983255,0.998255253
4597,DB00477,DB01233,1,0.9999089,0.9998426,0.999766,0.999839167
4598,8952,2734,0,2.69E-06,0.000171065,0.002647311,0.000940355
4599,DB01142,DB09241,1,0.9996577,0.9995309,0.9977399,0.998976167
4600,DB00237,DB09123,1,0.9997174,0.99982697,0.99732816,0.99895751
4601,DB00542,DB01592,1,0.9992461,0.006401956,0.9568491,0.654165719
4602,2797,3571,0,0.10831854,0.09983274,0.31885314,0.17566814
4603,DB00254,DB00319,1,0.99984556,0.9994183,0.99984646,0.99970344
4604,DB00497,DB05521,1,0.99049795,0.9989718,0.99469316,0.99472097
4605,9017,3903,0,3.77E-07,8.20E-07,5.58E-05,1.90E-05
4606,9249,5283,0,0.93910074,0.61490107,0.23677176,0.596924523
4607,DB01000,DB01024,1,0.97559065,0.9994824,0.9952813,0.990118117
4608,DB01037,DB01624,1,0.9997504,0.999266,0.99974227,0.999586223
4609,DB00865,DB00904,1,0.9993974,0.9897321,0.99665296,0.99526082
4610,DB00182,DB00557,1,0.9994296,0.99917775,0.9994458,0.99935105
4611,DB00474,DB06204,1,0.9996301,0.9998911,0.99710745,0.998876217
4612,DB00458,DB06702,1,0.99843705,0.99946815,0.99501586,0.997640353
4613,DB00215,DB01614,1,0.99993885,0.9993403,0.99989015,0.9997231
4614,1761,6876,0,2.94E-07,1.33E-06,3.13E-06,1.58E-06
4615,DB00949,DB01353,1,0.9986179,0.9998263,0.97151685,0.989987017
4616,2296,4846,0,2.74E-05,3.82E-06,0.000219584,8.36E-05
4617,9526,5981,0,0.03876993,5.66E-05,0.053489476,0.030772002
4618,DB00934,DB01021,1,0.9998658,0.9988798,0.99819946,0.998981687
4619,3469,1585,0,0.9837411,0.99782705,0.9978956,0.993154583
4620,7595,9571,0,2.50E-06,0.15692827,4.11E-06,0.052311627
4621,5618,7272,0,4.29E-05,6.82E-07,9.62E-06,1.77E-05
4622,2179,8744,0,2.26E-05,0.000896871,0.084860235,0.028593235
4623,DB00871,DB06704,1,0.99733615,0.9990685,0.9994696,0.99862475
4624,DB00678,DB00752,1,0.99988395,0.9997417,0.99513745,0.998254367
4625,DB01174,DB08912,1,0.9994682,0.99974906,0.99902964,0.999415633
4626,DB00331,DB00567,1,0.9908715,0.14223439,0.99664295,0.70991628
4627,DB00585,DB06616,1,0.9996202,0.9997963,0.99881,0.999408833
4628,DB00831,DB00921,1,0.9998307,0.99978167,0.99899757,0.999536647
4629,3643,8553,0,0.000177056,0.007596076,0.053170383,0.020314505
4630,9111,2260,0,1.07E-07,3.01E-07,1.65E-07,1.91E-07
4631,190,8166,0,2.03E-06,3.64E-06,0.000264257,9.00E-05
4632,9469,8372,0,0.001666129,0.01091221,0.011829942,0.008136094
4633,DB00907,DB01288,1,0.99954605,0.98022753,0.98806447,0.98927935
4634,DB00465,DB00784,1,0.9949877,0.97622234,0.9918648,0.987691613
4635,8431,9054,0,3.86E-07,1.08E-07,1.74E-06,7.45E-07
4636,59,1901,0,9.76E-06,6.86E-05,0.000137925,7.21E-05
4637,233,4183,0,5.28E-06,1.50E-06,0.000690281,0.000232354
4638,2482,5408,0,6.37E-07,4.63E-05,1.66E-05,2.12E-05
4639,8649,1821,0,6.55E-07,7.93E-06,6.95E-05,2.60E-05
4640,4945,1980,0,9.10E-07,0.000415295,0.000162572,0.000192926
4641,1838,1505,0,1.60E-06,9.76E-06,1.87E-05,1.00E-05
4642,DB00384,DB08907,1,0.9999522,0.9870335,0.99883616,0.995273953
4643,DB00993,DB01656,1,0.9993464,0.9991424,0.99906576,0.999184853
4644,6888,3898,0,0.21322736,0.001574457,0.008720428,0.074507415
4645,DB00176,DB00726,1,0.9999721,0.9993559,0.9989619,0.999429967
4646,DB00176,DB01012,1,0.9995482,0.99956495,0.9991963,0.999436483
4647,DB01232,DB09291,1,0.99966335,0.99978834,0.99980015,0.999750613
4648,5825,6613,0,0.002251804,0.07771638,0.13567176,0.071879981
4649,DB00872,DB01234,1,0.9961921,0.99912095,0.9957605,0.997024517
4650,3177,5557,0,7.28E-05,7.32E-06,1.17E-05,3.06E-05
4651,DB01204,DB01248,1,0.1859375,0.034636706,0.008842915,0.076472374
4652,1571,6600,0,2.50E-05,0.000521481,0.009451956,0.003332812
4653,DB01021,DB01075,1,0.99923134,0.99951196,0.99916434,0.999302547
4654,5309,605,0,1.52E-06,0.26867247,0.007264465,0.091979485
4655,4555,618,0,0.009788007,0.12659144,0.26973516,0.135371536
4656,666,4112,0,9.49E-06,0.027013004,0.000246465,0.009089653
4657,3528,4816,0,0.000900388,0.003232539,0.000306815,0.001479914
4658,DB00684,DB00695,1,0.999089,0.9992864,0.99472284,0.997699413
4659,DB00554,DB03619,1,0.9904307,0.9994686,0.99647796,0.995459087
4660,DB00569,DB00749,1,0.94911206,0.9924184,0.99450064,0.978677033
4661,DB00468,DB00501,1,0.9999727,0.9997127,0.99988216,0.999855853
4662,DB00414,DB00668,1,0.9563745,0.99658245,0.9905523,0.98116975
4663,1402,170,0,1.72E-07,3.50E-05,9.96E-06,1.50E-05
4664,DB00661,DB09118,1,0.99982,0.9988363,0.9996712,0.9994425
4665,2911,6225,0,2.69E-06,9.31E-08,7.71E-08,9.53E-07
4666,1842,142,0,0.9628475,0.35027656,0.71027565,0.67446657
4667,DB00986,DB01278,1,0.9586308,0.99055505,0.99110174,0.980095863
4668,DB01100,DB01247,1,0.99997044,0.9978316,0.99805284,0.998618293
4669,DB00294,DB00672,1,0.99927795,0.9914961,0.99375206,0.994842037
4670,DB01076,DB09049,1,0.330299,0.6818086,0.8716647,0.6279241
4671,7958,7320,0,5.44E-06,0.000921726,0.06625301,0.022393392
4672,DB00672,DB00912,1,0.9995841,0.99790895,0.9982846,0.99859255
4673,DB01037,DB01393,1,0.99014807,0.5993196,0.651636,0.747034557
4674,DB00479,DB09268,1,0.9603287,0.99810827,0.98976004,0.982732337
4675,9260,1327,0,1.42E-05,0.00154677,0.48160142,0.16105413
4676,DB00794,DB04855,1,0.9986935,0.9992566,0.9995266,0.9991589
4677,DB00422,DB00887,1,0.99906886,0.9982178,0.9917855,0.996357387
4678,3289,5081,0,0.7202611,0.048601985,0.04431972,0.271060935
4679,DB00213,DB01072,1,0.997836,0.9993546,0.9988216,0.998670733
4680,2955,5752,0,0.001870692,0.89898455,0.009360492,0.303405245
4681,DB01403,DB05246,1,0.9853798,0.99447066,0.9994355,0.99309532
4682,315,7201,0,2.19E-06,4.50E-06,5.90E-05,2.19E-05
4683,9316,7338,0,1.92E-05,3.10E-07,5.30E-07,6.68E-06
4684,DB00938,DB08933,1,0.99699795,0.9439694,0.7034759,0.881481083
4685,DB00472,DB01618,1,0.9902359,0.9998783,0.9943295,0.994814567
4686,DB00486,DB01202,1,0.9984315,0.998273,0.9991506,0.998618367
4687,7469,6177,0,8.81E-05,0.003344923,0.000290483,0.001241169
4688,DB00199,DB06287,1,0.99790776,0.99804217,0.9961736,0.99737451
4689,DB06211,DB09268,1,0.99735415,0.9851558,0.98338485,0.9886316
4690,6645,7464,0,7.18E-07,1.62E-05,0.001769245,0.000595388
4691,DB01174,DB11256,1,0.97722805,0.9966934,0.9990101,0.990977183
4692,DB00921,DB01624,1,0.9999079,0.9994022,0.9962939,0.998534667
4693,DB01224,DB01264,1,0.99951863,0.99526227,0.9980297,0.997603533
4694,2232,4577,0,0.99949527,0.92564905,0.9782702,0.96780484
4695,DB00564,DB01254,1,0.99833584,0.99809444,0.9991113,0.99851386
4696,404,6829,0,2.28E-07,8.96E-08,6.03E-07,3.07E-07
4697,DB00465,DB08794,1,0.9974175,0.9917478,0.9983611,0.995842133
4698,1917,3056,0,0.008321822,0.001734793,0.00020203,0.003419548
4699,1291,6742,0,5.43E-07,5.44E-08,2.96E-06,1.19E-06
4700,5247,7073,0,0.004259646,5.24E-05,0.001385748,0.001899265
4701,DB00641,DB00661,1,0.92997766,0.92671955,0.8032782,0.88665847
4702,DB00458,DB09065,1,0.9998426,0.99967754,0.99932337,0.999614503
4703,1704,9078,0,1.80E-07,4.29E-06,1.61E-06,2.03E-06
4704,115,627,0,0.000106731,0.00010325,0.001052409,0.000420797
4705,226,2496,0,3.93E-07,2.37E-07,1.09E-06,5.73E-07
4706,8979,8215,0,2.65E-06,1.59E-06,0.000274032,9.28E-05
4707,DB00242,DB04817,1,0.94106305,0.9954737,0.99769104,0.97807593
4708,DB00202,DB00214,1,0.98481107,0.9978063,0.995386,0.99266779
4709,DB00231,DB00651,1,0.88369083,0.9774132,0.9923122,0.951138743
4710,5759,3063,0,0.000153601,2.37E-05,5.10E-05,7.61E-05
4711,DB00130,DB00581,1,1.89E-05,1.04E-05,0.000465393,0.000164898
4712,850,4859,0,3.40E-07,4.42E-05,8.95E-06,1.78E-05
4713,DB00675,DB00834,1,0.9999638,0.9998847,0.9964366,0.9987617
4714,6256,4278,0,0.000151128,0.000275284,0.000291914,0.000239442
4715,8082,6074,0,0.037739486,0.002055347,0.009028763,0.016274532
4716,1329,1923,0,0.00015232,0.005036533,1.14E-05,0.001733418
4717,DB01115,DB06290,1,0.9994073,0.99953794,0.99905944,0.999334893
4718,DB06282,DB08897,1,0.9997931,0.99926084,0.99960446,0.9995528
4719,5865,4426,0,0.0100483,0.017175913,0.47626877,0.167830994
4720,7252,5499,0,1.95E-06,0.005109757,7.95E-05,0.001730402
4721,486,1483,0,1.95E-06,8.53E-06,0.000145465,5.20E-05
4722,7410,3027,0,0.015401781,0.98853374,0.054399908,0.352778476
4723,9077,5440,0,7.43E-07,1.36E-06,6.02E-05,2.08E-05
4724,DB00321,DB00898,1,0.9997643,0.99949145,0.99962986,0.999628537
4725,5704,6213,0,0.82324135,0.9695604,0.980537,0.92444625
4726,DB00736,DB08934,1,0.99781203,0.9935162,0.9994178,0.996915343
4727,DB01576,DB09273,1,0.9957484,0.99473476,0.965379,0.985287387
4728,6324,266,0,9.62E-06,4.49E-06,1.05E-05,8.20E-06
4729,DB00181,DB00186,1,0.9998212,0.9995605,0.9984487,0.9992768
4730,4220,3565,0,1.75E-05,2.57E-06,7.42E-05,3.14E-05
4731,DB01579,DB01614,1,0.9998177,0.99782145,0.99710894,0.998249363
4732,DB00737,DB09076,1,0.99566615,0.9880222,0.99921966,0.99430267
4733,DB06707,DB09273,1,0.998353,0.9539683,0.96674454,0.973021947
4734,DB00921,DB01174,1,0.9995173,0.999565,0.99289656,0.997326287
4735,DB00875,DB04896,1,0.9999596,0.9997357,0.99972343,0.999806243
4736,DB00300,DB00465,1,0.985927,0.99507153,0.99320257,0.991400367
4737,DB00304,DB00672,1,0.9986956,0.9840178,0.9878125,0.9901753
4738,2924,5346,0,1.12E-06,0.019177735,2.98E-06,0.006393945
4739,8,3622,0,0.000143856,0.24442449,0.102469176,0.115679174
4740,DB00717,DB09065,1,0.9992252,0.99971306,0.99942124,0.999453167
4741,9459,6520,0,0.002378941,0.2930706,0.07308495,0.12284483
4742,DB00503,DB01238,1,0.9998473,0.999797,0.99951845,0.999720917
4743,DB00214,DB01001,1,0.9990009,0.99877805,0.9981353,0.998638083
4744,DB00555,DB01320,1,0.99983954,0.9997505,0.9997442,0.99977808
4745,4147,7757,0,0.83393955,0.13392085,0.36334544,0.44373528
4746,DB00373,DB00411,1,0.9900408,0.99772805,0.99369705,0.993821967
4747,8323,2228,0,0.000781149,0.16436288,0.11303347,0.092725833
4748,DB00370,DB00673,1,0.99954426,0.99851936,0.99680746,0.99829036
4749,513,1053,0,8.25E-07,4.04E-05,7.30E-05,3.81E-05
4750,DB01062,DB04924,1,0.8140223,0.99754155,0.99676883,0.936110893
4751,2906,4282,0,0.000417978,4.64E-06,0.006150186,0.002190935
4752,DB00370,DB01221,1,0.9989582,0.9929869,0.9988942,0.996946433
4753,900,1992,0,1.25E-06,0.000137538,0.000105024,8.13E-05
4754,DB00601,DB06204,1,0.9998052,0.9992428,0.999079,0.999375667
4755,DB00476,DB00932,1,0.9975344,0.9976619,0.99712753,0.997441277
4756,6091,9593,0,2.99E-07,5.86E-05,8.19E-07,1.99E-05
4757,8063,834,0,0.6769278,0.2345669,0.7408881,0.550794267
4758,1588,4432,0,7.06E-05,2.44E-06,3.93E-05,3.74E-05
4759,DB00187,DB00820,1,0.9981605,0.99901414,0.9997673,0.998980647
4760,1256,4959,0,1.10E-06,5.06E-06,2.29E-05,9.69E-06
4761,DB01172,DB08795,1,0.9999105,0.999962,0.99984586,0.99990612
4762,DB00681,DB01172,1,0.87554896,0.9886616,0.9758861,0.946698887
4763,5939,5317,0,2.96E-05,0.050800294,0.32463247,0.125154121
4764,DB01167,DB08932,1,0.9988195,0.99925363,0.9984211,0.99883141
4765,DB00862,DB01020,1,0.9975164,0.9684765,0.99741024,0.987801047
4766,DB00610,DB00988,1,0.998491,0.99672043,0.99945927,0.998223567
4767,6099,4744,0,0.000924498,0.000125289,0.000909805,0.000653197
4768,5467,8385,0,8.76E-06,2.47E-05,6.89E-06,1.35E-05
4769,6955,2169,0,1.94E-07,1.52E-05,4.14E-05,1.89E-05
4770,2189,3281,0,2.37E-06,0.000107176,0.00485003,0.001653192
4771,6315,6218,0,6.65E-06,7.20E-05,0.537216,0.179098217
4772,6734,246,0,2.86E-05,0.017845482,0.001537293,0.006470458
4773,DB01072,DB06207,1,0.9994931,0.99961406,0.9979545,0.999020553
4774,DB02703,DB06603,1,0.98077166,0.9956226,0.97685266,0.98441564
4775,3606,7632,0,2.17E-06,1.40E-07,5.04E-06,2.45E-06
4776,6675,37,0,0.38721076,0.006977528,0.07137111,0.155186466
4777,DB00474,DB00968,1,0.9995645,0.9996891,0.9969468,0.998733467
4778,3450,6517,0,1.57E-07,2.24E-07,2.34E-07,2.05E-07
4779,9304,3701,0,0.000273645,1.94E-05,0.001212865,0.00050197
4780,DB00268,DB00475,1,0.99835527,0.997596,0.99897534,0.99830887
4781,DB00865,DB06717,1,0.9979888,0.9884823,0.9712952,0.9859221
4782,DB01208,DB06723,1,0.9994464,0.999851,0.9998388,0.999712067
4783,955,9234,0,0.115734994,0.87132174,0.8379692,0.608341978
4784,DB01268,DB01656,1,0.8320303,0.993991,0.8833493,0.903123533
4785,7222,1174,0,7.04E-07,2.43E-06,3.26E-06,2.13E-06
4786,DB00263,DB06799,1,0.99978983,0.97914195,0.9986918,0.992541193
4787,DB00975,DB00997,1,0.99564207,0.9940704,0.98795617,0.992556213
4788,8745,8839,0,2.05E-07,1.17E-07,7.75E-06,2.69E-06
4789,DB00476,DB01023,1,0.9991962,0.996295,0.99923164,0.998240947
4790,6020,8404,0,9.89E-06,7.16E-06,1.38E-05,1.03E-05
4791,4770,7801,0,0.45561537,0.9482703,0.008728981,0.47087155
4792,7257,699,0,0.000465453,0.02220264,0.004324734,0.008997609
4793,DB00401,DB01354,1,0.99973804,0.9999222,0.9967077,0.998789313
4794,DB00358,DB04953,1,0.9789336,0.6668346,0.57936203,0.741710077
4795,2456,7919,0,6.74E-08,0.836116,1.78E-05,0.278711289
4796,DB00318,DB00679,1,0.9997275,0.9994873,0.9998638,0.999692867
4797,4465,5879,0,1.23E-06,0.000225097,1.63E-05,8.09E-05
4798,DB00246,DB09117,1,0.9999196,0.9995634,0.99951965,0.99966755
4799,5017,5227,0,0.013987064,0.9074433,0.074196994,0.331875786
4800,9405,7026,0,1.52E-07,4.08E-08,4.50E-07,2.14E-07
4801,DB00465,DB01009,1,0.9994003,0.99608266,0.9985324,0.99800512
4802,DB00412,DB01072,1,0.99800587,0.99962723,0.99969316,0.999108753
4803,2897,2850,0,5.98E-07,1.31E-06,4.87E-06,2.26E-06
4804,DB01320,DB08933,1,0.99992317,0.9998165,0.99933636,0.99969201
4805,9506,5090,0,0.13378388,0.003528446,0.031820893,0.05637774
4806,2813,5534,0,9.77E-07,1.60E-05,9.47E-06,8.82E-06
4807,3756,963,0,0.5050308,0.9714086,0.001104713,0.492514704
4808,DB06204,DB09128,1,0.9999398,0.99967635,0.9977282,0.999114783
4809,DB00661,DB00967,1,0.9942594,0.9984315,0.99683523,0.99650871
4810,2988,5657,0,0.00081566,6.67E-06,9.75E-06,0.00027736
4811,DB00104,DB00477,1,0.9994833,0.9994384,0.99633074,0.99841748
4812,5275,5392,0,5.83E-05,0.07092565,0.001704454,0.024229468
4813,3679,9021,0,0.0592373,0.42942196,0.79436255,0.427673937
4814,DB00434,DB00557,1,0.999509,0.99804157,0.997887,0.99847919
4815,4047,1850,0,0.002137333,4.38E-05,0.000464588,0.000881907
4816,2261,5387,0,0.000933707,7.83E-05,0.08609837,0.029036792
4817,3220,4565,0,2.16E-06,1.04E-05,3.17E-06,5.24E-06
4818,DB00337,DB08865,1,0.9998019,0.9989419,0.9995196,0.999421133
4819,933,6098,0,2.44E-07,6.58E-08,3.60E-06,1.30E-06
4820,543,9228,0,0.000231445,7.93E-05,0.000267684,0.00019281
4821,4385,4011,0,1.18E-06,0.95187044,0.9833794,0.645083673
4822,6614,8588,0,0.01645878,0.19466755,0.01056084,0.073895723
4823,DB01193,DB03128,1,0.99584734,0.9998362,0.99975735,0.998480297
4824,DB00906,DB01083,1,0.99814725,0.99919724,0.99439824,0.997247577
4825,DB00243,DB00741,1,0.94540477,0.99743074,0.97531915,0.97271822
4826,DB00241,DB00321,1,0.99582195,0.9995595,0.9974071,0.997596183
4827,1205,4569,0,7.16E-07,2.46E-07,3.75E-07,4.46E-07
4828,7670,6375,0,4.44E-07,1.13E-07,5.53E-07,3.70E-07
4829,DB06290,DB09401,1,0.970466,0.9667282,0.99738944,0.978194547
4830,1211,8939,0,1.89E-07,9.47E-08,3.75E-06,1.34E-06
4831,8095,5757,0,1.59E-07,6.56E-05,0.000117199,6.10E-05
4832,DB01101,DB08439,1,0.9625777,0.8642931,0.96669364,0.931188147
4833,1985,3367,0,4.99E-07,3.66E-08,7.39E-07,4.25E-07
4834,2535,3348,0,3.59E-06,2.00E-05,0.001084417,0.000369336
4835,DB00484,DB06201,1,0.9999902,0.9998852,0.9996699,0.999848433
4836,DB01126,DB01264,1,0.99867,0.99720114,0.9916986,0.99585658
4837,DB00211,DB05039,1,0.9981948,0.9825986,0.9598143,0.980202567
4838,8426,4405,0,1.91E-06,2.84E-06,1.95E-06,2.23E-06
4839,4936,6715,0,3.80E-05,4.36E-06,0.00055787,0.000200077
4840,8759,4802,0,6.96E-06,2.24E-06,1.18E-05,7.00E-06
4841,2176,5877,0,0.99442923,0.99481785,0.998413,0.995886693
4842,8756,1247,0,0.000167757,2.04E-06,1.31E-05,6.10E-05
4843,2275,288,0,0.000427544,0.004173219,0.000808179,0.001802981
4844,DB00802,DB01045,1,0.9999279,0.9990474,0.9986359,0.999203733
4845,DB01041,DB01558,1,0.95066047,0.9972229,0.98506,0.97764779
4846,4417,7852,0,3.58E-07,0.00423786,0.00115037,0.001796196
4847,DB00215,DB01207,1,0.99975723,0.9995619,0.99946636,0.999595163
4848,1499,2334,0,0.097328395,0.894781,0.94795656,0.646688652
4849,6313,5904,0,3.62E-06,3.41E-06,2.70E-05,1.13E-05
4850,8304,2775,0,0.000291109,0.000641555,2.85E-05,0.000320388
4851,4085,8966,0,8.15E-07,0.000121186,5.86E-06,4.26E-05
4852,DB00252,DB06789,1,0.9925796,0.9958885,0.99829257,0.99558689
4853,DB00006,DB08794,1,0.9948853,0.98879385,0.9940958,0.99259165
4854,DB00216,DB09063,1,0.9928459,0.9996488,0.9997024,0.997399033
4855,DB00569,DB00717,1,0.9113468,0.97757125,0.9933729,0.96076365
4856,DB00178,DB00474,1,0.99843097,0.9994606,0.99863696,0.998842843
4857,2858,5881,0,2.00E-06,0.000653029,0.000107219,0.000254083
4858,DB01238,DB09477,1,0.9483845,0.99104977,0.8598808,0.933105023
4859,DB01142,DB01239,1,0.9998654,0.9995315,0.9977503,0.999049067
4860,1466,4807,0,0.27723065,0.000722885,0.79226524,0.356739592
4861,434,8946,0,0.2421714,0.000507981,0.024005383,0.088894921
4862,1926,2568,0,0.25110686,0.8722111,0.51363665,0.545651537
4863,DB00341,DB04924,1,0.9986112,0.99013364,0.99976474,0.99616986
4864,3733,2865,0,7.47E-06,2.92E-06,0.7910819,0.26369743
4865,DB00790,DB01356,1,0.9742674,0.9962877,0.9019358,0.957496967
4866,DB00586,DB01418,1,0.9954014,0.99515045,0.99606574,0.995539197
4867,5607,1245,0,3.80E-06,4.78E-05,0.000336885,0.000129495
4868,DB01174,DB01224,1,0.998929,0.99679035,0.9990269,0.99824875
4869,4599,6724,0,7.35E-06,0.001945168,7.46E-05,0.000675706
4870,6798,8755,0,8.47E-06,5.18E-06,0.000592291,0.00020198
4871,8696,625,0,1.82E-06,1.62E-07,2.63E-06,1.54E-06
4872,2551,613,0,0.14618498,0.19546822,0.07288751,0.138180237
4873,8635,8951,0,0.000397325,0.000274986,4.10E-05,0.00023777
4874,8345,5471,0,5.10E-07,9.86E-07,8.36E-07,7.77E-07
4875,DB00486,DB01219,1,0.99957526,0.9993969,0.99986404,0.999612067
4876,1230,9561,0,7.37E-07,0.000176936,6.67E-05,8.15E-05
4877,DB00682,DB05521,1,0.97649586,0.9967188,0.9989975,0.990737387
4878,9478,5985,0,3.82E-05,0.000356436,0.16902095,0.056471862
4879,1631,7468,0,0.000239998,5.37E-06,0.33624262,0.112162663
4880,9132,1078,0,0.000817686,6.27E-05,5.61E-05,0.000312162
4881,DB01351,DB06201,1,0.9997679,0.99993384,0.9992005,0.99963408
4882,4925,7107,0,8.69E-08,8.94E-07,3.94E-07,4.58E-07
4883,3395,3533,0,0.000255913,0.000678629,0.000297993,0.000410845
4884,984,6362,0,4.48E-07,6.94E-07,8.63E-06,3.26E-06
4885,DB01192,DB06204,1,0.99965686,0.99950594,0.9930006,0.9973878
4886,5526,7186,0,3.97E-07,7.75E-06,3.49E-06,3.88E-06
4887,8028,3395,0,0.000256628,0.000293404,0.015017629,0.00518922
4888,3999,1518,0,0.000721008,1.20E-05,0.000154912,0.000295973
4889,2786,8307,0,3.99E-07,6.85E-07,2.02E-05,7.09E-06
4890,DB02703,DB08875,1,0.99949175,0.999287,0.99862754,0.99913543
4891,8988,214,0,4.15E-07,4.03E-07,2.33E-05,8.04E-06
4892,9416,6058,0,0.048906505,0.000608981,0.008326083,0.019280523
4893,DB00350,DB00752,1,0.9997909,0.9995784,0.9961575,0.998508933
4894,455,4869,0,6.46E-07,1.35E-07,8.07E-07,5.29E-07
4895,2091,5031,0,0.9999486,0.55853707,0.78673065,0.781738773
4896,8089,3156,0,0.005251974,3.42E-05,0.000483543,0.001923239
4897,DB00220,DB00497,1,0.9993856,0.9993056,0.9998441,0.999511767
4898,DB00605,DB00687,1,0.99588144,0.9993696,0.98077345,0.992008163
4899,8546,59,0,6.15E-07,1.84E-05,0.000183344,6.75E-05
4900,DB00214,DB00860,1,0.98837173,0.9982418,0.9994682,0.995360577
4901,DB00267,DB00684,1,0.99992806,0.99998856,0.9999387,0.999951773
4902,DB01120,DB06203,1,0.9978858,0.9992229,0.99978435,0.99896435
4903,DB00722,DB01143,1,0.9996904,0.9988303,0.9953295,0.997950067
4904,DB01201,DB08865,1,0.99996257,0.99895084,0.99988276,0.999598723
4905,2797,5509,0,5.06E-07,1.69E-07,2.16E-05,7.43E-06
4906,DB00541,DB01211,1,0.999373,0.9984123,0.997049,0.9982781
4907,DB00177,DB00794,1,0.9996908,0.999807,0.9996259,0.9997079
4908,3633,6932,0,3.72E-06,5.38E-06,6.89E-06,5.33E-06
4909,8739,4274,0,1.00E-06,6.42E-07,8.22E-07,8.21E-07
4910,6073,6889,0,0.29897314,0.035649627,0.59523535,0.309952706
4911,DB00196,DB09074,1,0.99995154,0.9996462,0.9993197,0.999639147
4912,DB00233,DB00374,1,0.74760103,0.9984962,0.6397319,0.795276377
4913,DB01083,DB01182,1,0.9861152,0.9959457,0.99901557,0.993692157
4914,DB00956,DB01263,1,0.99956375,0.99771327,0.9990375,0.998771507
4915,6675,1225,0,0.001460642,0.000279129,0.17329258,0.058344117
4916,9402,8481,0,1.58E-06,1.11E-05,3.92E-05,1.73E-05
4917,520,1295,0,0.12079859,0.98293877,0.22232941,0.442022257
4918,DB00620,DB05521,1,0.9808227,0.9993581,0.99467283,0.991617877
4919,DB00411,DB00989,1,0.9853401,0.99929553,0.9990175,0.994551043
4920,1609,5448,0,0.001467139,0.13314405,0.001228631,0.04527994
4921,DB00722,DB09220,1,0.98227215,0.984504,0.9791507,0.981975617
4922,5087,8549,0,6.13E-05,8.08E-07,0.012017757,0.004026622
4923,5543,3869,0,2.13E-06,8.41E-06,9.79E-05,3.61E-05
4924,DB00531,DB00999,1,0.99892884,0.9982859,0.9990879,0.998767547
4925,9486,2571,0,0.2939696,0.42888802,0.45791242,0.393590013
4926,6989,8565,0,5.28E-07,1.26E-06,1.84E-06,1.21E-06
4927,3571,6924,0,1.01E-06,6.51E-07,8.09E-05,2.75E-05
4928,790,3874,0,2.72E-06,0.001122356,1.87E-05,0.000381259
4929,1477,2642,0,2.79E-07,2.81E-07,8.65E-07,4.75E-07
4930,9329,1927,0,0.02742678,7.23E-05,0.000943184,0.009480755
4931,DB00569,DB06789,1,0.8773663,0.9483745,0.9863186,0.937353133
4932,9076,3599,0,2.16E-07,5.92E-06,1.58E-06,2.57E-06
4933,DB01440,DB01589,1,0.98034334,0.995665,0.89347994,0.956496093
4934,7876,6547,0,0.00017336,0.05203274,0.034112334,0.028772811
4935,DB06207,DB09102,1,0.99757636,0.99828255,0.93807554,0.97797815
4936,231,9605,0,1.09E-06,5.12E-06,1.27E-05,6.30E-06
4937,35,3585,0,3.50E-07,6.93E-05,1.81E-06,2.38E-05
4938,3163,8000,0,9.80E-05,2.32E-05,0.00046286,0.000194687
4939,DB00477,DB01151,1,0.99995303,0.99978364,0.9999284,0.999888357
4940,DB00687,DB00981,1,0.9873209,0.9603392,0.84274113,0.930133743
4941,3097,6250,0,1.55E-06,9.19E-05,6.31E-06,3.33E-05
4942,1390,6146,0,0.07929617,0.32049018,0.52930194,0.309696097
4943,DB00503,DB09027,1,0.9987127,0.9986932,0.9997361,0.999047333
4944,DB06207,DB08881,1,0.9930229,0.99957633,0.99413455,0.995577927
4945,DB01020,DB01355,1,0.9993736,0.9996927,0.99552053,0.99819561
4946,DB00186,DB01551,1,0.9999032,0.9994343,0.9986805,0.999339333
4947,9143,8751,0,2.76E-07,2.50E-07,6.08E-06,2.20E-06
4948,5315,8143,0,6.39E-07,2.70E-05,3.34E-06,1.03E-05
4949,1920,3865,0,0.987754,0.93662894,0.35074258,0.758375173
4950,DB00490,DB06684,1,0.999859,0.9995111,0.99960256,0.999657553
4951,4154,7419,0,0.00032267,1.01E-05,2.24E-05,0.00011839
4952,DB09073,DB09074,1,0.99807227,0.9997264,0.9985358,0.998778157
4953,DB00572,DB06148,1,0.9982866,0.9982259,0.99681723,0.997776577
4954,DB00976,DB01181,1,0.9920166,0.9991785,0.9973055,0.996166867
4955,DB00193,DB01017,1,0.9995502,0.9994305,0.99870014,0.999226947
4956,6131,917,0,0.48658532,0.95227885,0.101184905,0.513349692
4957,DB00610,DB01364,1,0.998721,0.9948113,0.99306005,0.995530783
4958,DB00482,DB09128,1,0.9991895,0.9929617,0.99964505,0.997265417
4959,8389,7229,0,4.69E-06,3.20E-06,5.26E-06,4.38E-06
4960,DB01021,DB01600,1,0.9994923,0.9997314,0.9996985,0.999640733
4961,6564,4822,0,0.99547887,0.001735508,0.38404775,0.460420709
