Gene Symbol,gene_name,Direct Evidence,Inference Score
CLPTM1,1209,,56.12
COQ7,10229,,56.12
EPHA5,2044,,56.12
F2RL2,2151,,56.12
GPD1L,23171,,56.12
LHX1,3975,,56.12
LRP10,26020,,56.12
MRPL18,29074,,56.12
MYL12A,10627,,56.12
TMEM38B,55151,,56.12
NQO1,1728,,56.08
ADAM12,8038,,55.99
BORA,79866,,55.99
DLX2,1746,,55.99
DOCK4,9732,,55.99
EEPD1,80820,,55.99
GLRX3,10539,,55.99
KRT16,3868,,55.99
MND1,84057,,55.99
VIPR1,7433,,55.99
PLD1,5337,,55.98
CES3,23491,,55.97
CLASRP,11129,,55.97
CPQ,10404,,55.97
FAM111A,63901,,55.97
PRIM2,5558,,55.97
PSMD7,5713,,55.97
PSME4,23198,,55.97
RNF41,10193,,55.97
SSTR2,6752,,55.97
BAX,581,,55.96
SELE,6401,,55.93
ARL1,400,,55.92
BAZ1B,9031,,55.92
BCL6B,255877,,55.92
FCGRT,2217,,55.92
GYPC,2995,,55.92
IRAK4,51135,,55.92
PLPP2,8612,,55.92
SDHC,6391,,55.92
ST3GAL3,6487,,55.92
CCT5,22948,,55.88
IFI30,10437,,55.88
INPP5D,3635,,55.88
SLCO4A1,28231,,55.88
BBS4,585,,55.81
CABYR,26256,,55.81
FAM13B,51306,,55.81
HIF1AN,55662,,55.81
IMP3,55272,,55.81
ING2,3622,,55.81
NPRL3,8131,,55.81
NPTXR,23467,,55.81
NSMF,26012,,55.81
PACSIN1,29993,,55.81
PIGQ,9091,,55.81
RDH12,145226,,55.81
RMDN1,51115,,55.81
RPS23,6228,,55.81
SFT2D2,375035,,55.81
SGSM2,9905,,55.81
SLC22A17,51310,,55.81
TSPYL2,64061,,55.81
VPS33A,65082,,55.81
VPS36,51028,,55.81
WTAP,9589,,55.81
ANKRD13C,81573,,55.8
BRAP,8315,,55.8
CBARP,255057,,55.8
MIGA1,374986,,55.8
MIR144,406936,,55.8
MIR29A,407021,,55.8
MRPL22,29093,,55.8
NAGPA,51172,,55.8
PDZD8,118987,,55.8
PEX11B,8799,,55.8
RNF11,26994,,55.8
TBC1D17,79735,,55.8
TBRG1,84897,,55.8
USP4,7375,,55.8
UTP25,27042,,55.8
ZFAND3,60685,,55.8
ATAD3A,55210,,55.72
ATL3,25923,,55.72
CREB3L1,90993,,55.72
DMTN,2039,,55.72
GABARAP,11337,,55.72
HCRT,3060,,55.72
KCNK3,3777,,55.72
KCTD5,54442,,55.72
LACC1,144811,,55.72
MAP7D1,55700,,55.72
MICB,4277,,55.72
MIR30A,407029,,55.72
PDRG1,81572,,55.72
PRKG2,5593,,55.72
RTKN,6242,,55.72
SEC13,6396,,55.72
SLC25A27,9481,,55.72
SLC30A5,64924,,55.72
SURF1,6834,,55.72
SYNGAP1,8831,,55.72
ABCE1,6059,,55.68
ACOT4,122970,,55.68
NUCKS1,64710,,55.68
PLCE1,51196,,55.68
SLC22A18,5002,,55.68
APLNR,187,,55.67
APOH,350,,55.67
COL13A1,1305,,55.67
DSG2,1829,,55.67
KLF3,51274,,55.67
NDUFA2,4695,,55.67
NUAK2,81788,,55.67
OPLAH,26873,,55.67
PHB2,11331,,55.67
PSMC3IP,29893,,55.67
TRIM28,10155,,55.67
ABRACL,58527,,55.64
EMC3,55831,,55.64
FBXL6,26233,,55.64
INO80E,283899,,55.64
NVL,4931,,55.64
PACRG,135138,,55.64
PEF1,553115,,55.64
SRPK3,26576,,55.64
CALCA,796,therapeutic,55.62
CRIP2,1397,,55.62
DHRS4,10901,,55.62
AP1G1,164,,55.56
APCDD1,147495,,55.56
EFEMP2,30008,,55.56
EHD3,30845,,55.56
FANCC,2176,,55.56
IGF2BP2,10644,,55.56
KRT80,144501,,55.56
OBSL1,23363,,55.56
PARM1,25849,,55.56
PHTF2,57157,,55.56
POLR3E,55718,,55.56
PTPRM,5797,,55.56
RPS17,6218,,55.56
RTN1,6252,,55.56
TFCP2L1,29842,,55.56
TLCD4,148534,,55.56
TMTC4,84899,,55.56
TRAM1,23471,,55.56
UGT2A3,79799,,55.56
AHRR,57491,,55.54
ANGPT2,285,,55.47
CXCL12,6387,,55.47
CD82,3732,,55.4
EMB,133418,,55.4
KIF22,3835,,55.4
MAL2,114569,,55.4
PDGFC,56034,,55.4
PIK3CB,5291,,55.4
RABGGTB,5876,,55.4
ST14,6768,,55.4
TMEM37,140738,,55.4
TRP53,22059,,55.4
AGFG2,3268,,55.36
ARL15,54622,,55.36
CD53,963,,55.36
CHRNA5,1138,,55.36
COX7A2L,9167,,55.36
CRABP1,1381,,55.36
CTBP2,1488,,55.36
ELP1,8518,,55.36
FNDC3A,22862,,55.36
GIGYF2,26058,,55.36
GUK1,2987,,55.36
GULO,268756,,55.36
HDAC10,83933,,55.36
IPO4,79711,,55.36
KCNQ1,3784,,55.36
LDLRAD3,143458,,55.36
PCCA,5095,,55.36
PKMYT1,9088,,55.36
PLCXD2,257068,,55.36
PPP1R16B,26051,,55.36
REG3G,130120,marker/mechanism,55.36
RETREG1,54463,,55.36
SFXN2,118980,,55.36
TMEM63A,9725,,55.36
TPST2,8459,,55.36
TSPYL4,23270,,55.36
XYLT1,64131,,55.36
YY1,7528,,55.36
AEBP1,165,,55.33
AP3D1,8943,,55.33
CDK2AP2,10263,,55.33
DAP3,7818,,55.33
GRIP1,23426,,55.33
HERC4,26091,,55.33
HLA-C,3107,,55.33
MORF4L2,9643,,55.33
NKD2,85409,,55.33
NLGN3,54413,,55.33
NUBPL,80224,,55.33
PALM2AKAP2,445815,,55.33
PCDH1,5097,,55.33
PDCD6,10016,,55.33
PTPN18,26469,,55.33
RNF145,153830,,55.33
RNPS1,10921,,55.33
RPL39,6170,,55.33
RTN4IP1,84816,,55.33
SLC35B1,10237,,55.33
TRAK1,22906,,55.33
TRAM2,9697,,55.33
GATA2,2624,,55.31
ALG3,10195,,55.29
BTF3L4,91408,,55.29
CMTM4,146223,,55.29
DENND2B,6764,,55.29
ESRRB,2103,,55.29
GDF1,2657,,55.29
LRRC47,57470,,55.29
MIR146B,574447,,55.29
MRPL51,51258,,55.29
MZF1,7593,,55.29
PCSK1N,27344,,55.29
PLXNA4,91584,,55.29
PTPRCAP,5790,,55.29
SLC35F5,80255,,55.29
SNX33,257364,,55.29
SOCS4,122809,,55.29
TMEM69,51249,,55.29
UBLCP1,134510,,55.29
UROS,7390,,55.29
VWA1,64856,,55.29
WDR90,197335,,55.29
ZDHHC9,51114,,55.29
CLU,1191,,55.27
AGPAT9,102843911,,55.26
FBXO17,115290,,55.26
MFSD5,84975,,55.26
RPUSD4,84881,,55.26
UBE3B,89910,,55.26
ADAMTS2,9509,,55.22
AIMP1,9255,,55.22
CDC42EP2,10435,,55.22
CHCHD6,84303,,55.22
CTBP1,1487,,55.22
DYRK3,8444,,55.22
LPCAT3,10162,,55.22
LYPD1,116372,,55.22
NF2,4771,,55.22
PLPP1,8611,,55.22
RPL30,6156,,55.22
SNTB1,6641,,55.22
SRF,6722,,55.22
DDIT4L,115265,,55.12
WWTR1,25937,,55.12
TRPA1,8989,,55.11
FLNC,2318,,55.1
ATP5E,67126,,55.05
CARTPT,9607,,55.05
COG2,22796,,55.05
HINFP,25988,,55.05
KBTBD7,84078,,55.05
MIR25,407014,,55.05
NUDT18,79873,,55.05
PCDH17,27253,,55.05
PWWP3B,139221,,55.05
SLC41A1,254428,,55.05
USP6NL,9712,,55.05
CYGB,114757,,55.02
SMARCA4,6597,,55.02
ACAA1A,113868,,54.94
CA4,762,,54.94
CEP85,64793,,54.94
CRLS1,54675,,54.94
EDA2R,60401,,54.94
FBXO2,26232,,54.94
GATAD2A,54815,,54.94
GDE1,51573,,54.94
HERC2,8924,,54.94
IGHM,3507,,54.94
OBSCN,84033,,54.94
PCBP4,57060,,54.94
PREB,10113,,54.94
RRP9,9136,,54.94
SCN9A,6335,,54.94
SERPINA5,5104,,54.94
SLC6A14,11254,,54.94
TK2,7084,,54.94
TM6SF1,53346,,54.94
TNS2,23371,,54.94
VGLL4,9686,,54.94
ARHGAP4,393,,54.93
CDADC1,81602,,54.93
CRADD,8738,,54.93
CSGALNACT2,55454,,54.93
CTNNBIP1,56998,,54.93
ERGIC1,57222,,54.93
FAM167A,83648,,54.93
FKBP8,23770,,54.93
FRYL,285527,,54.93
GAPVD1,26130,,54.93
HIPK1,204851,,54.93
IFT88,8100,,54.93
KLHL7,55975,,54.93
LUZP1,7798,,54.93
MICAL3,57553,,54.93
MRAP,56246,,54.93
NELFA,7469,,54.93
ORC4,5000,,54.93
PEX6,5190,,54.93
RANBP2,5903,,54.93
SLC10A6,345274,,54.93
SLC25A32,81034,,54.93
TSPAN1,10103,,54.93
UGGT1,56886,,54.93
USP12,219333,,54.93
ZIC2,7546,,54.93
DCUN1D4,23142,,54.87
EPM2AIP1,9852,,54.87
FTL1,14325,,54.87
JAG2,3714,,54.87
LPAR3,23566,,54.87
MYO1C,4641,,54.87
PARVA,55742,,54.87
PPP1R14A,94274,,54.87
SELPLG,6404,,54.87
SEPTIN11,55752,,54.87
TGOLN2,10618,,54.87
TNFRSF14,8764,,54.87
ADH7,131,,54.84
CDC7,8317,,54.84
LAMP3,27074,,54.84
SIRPA,140885,,54.84
AMZ2,51321,,54.79
ATP13A4,84239,,54.79
BCL2L15,440603,,54.79
GBA2,57704,,54.79
IPO8,10526,,54.79
KAT7,11143,,54.79
LETMD1,25875,,54.79
NEDD8,4738,,54.79
SNAPC3,6619,,54.79
SPTBN4,57731,,54.79
ST7L,54879,,54.79
ACTN4,81,,54.74
C3AR1,719,,54.74
NPPA,4878,,54.74
MIR184,406960,,54.58
RING1,6015,,54.58
SGK1,6446,,54.58
ZDHHC8,29801,,54.58
ABHD1,84696,,54.57
ATXN2,6311,,54.57
CITED1,4435,,54.57
CTDSP1,58190,,54.57
DYNC1LI2,1783,,54.57
EPHB3,2049,,54.57
GABPB1,2553,,54.57
LY6D,8581,,54.57
MAN2B2,23324,,54.57
MTMR11,10903,,54.57
MXRA8,54587,,54.57
NLE1,54475,,54.57
RICTOR,253260,,54.57
SENP6,26054,,54.57
SLC44A2,57153,,54.57
SPCS3,60559,,54.57
SRRM1,10250,,54.57
TTLL7,79739,,54.57
BECN1,8678,,54.56
PDE3A,5139,,54.56
KNG1,3827,,54.55
PDGFB,5155,,54.55
ARPC2,10109,,54.54
CCR3,1232,,54.54
COL4A5,1287,,54.54
EPB41L2,2037,,54.54
GRIA4,2893,,54.54
HOXB9,3219,,54.54
IER5L,389792,,54.54
NMU,10874,,54.54
PLCD1,5333,,54.54
PNPLA7,375775,,54.54
RPL12,6136,,54.54
RPS18,6222,,54.54
TRAF5,7188,,54.54
ACYP2,98,,54.5
AKIRIN1,79647,,54.5
CEACAM6,4680,,54.5
CHCHD2,51142,,54.5
CLN5,1203,,54.5
DERL1,79139,,54.5
EPC2,26122,,54.5
FBXO11,80204,,54.5
FNDC4,64838,,54.5
KIF3C,3797,,54.5
METTL1,4234,,54.5
MIR141,406933,,54.5
OAZ2,4947,,54.5
PPIH,10465,,54.5
RAB8A,4218,,54.5
RASA2,5922,,54.5
SPTY2D1,144108,,54.5
TAF13,6884,,54.5
TMEM263,90488,,54.5
TRIM54,57159,,54.5
CALCOCO2,10241,,54.48
EXTL2,2135,,54.48
FBXO15,201456,,54.48
GDPD2,54857,,54.48
JKAMP,51528,,54.48
KATNB1,10300,,54.48
RBIS,401466,,54.48
RESP18,389075,,54.48
RWDD2B,10069,,54.48
STAC,6769,,54.48
ALOX12,239,,54.44
FH,2271,,54.44
IFNGR2,3460,,54.44
IVL,3713,,54.44
KALRN,8997,,54.44
NFYB,4801,,54.44
NRGN,4900,,54.44
PATJ,10207,,54.44
PRPS2,5634,,54.44
SHISA2,387914,,54.44
STAU2,27067,,54.44
ZWILCH,55055,,54.44
RGN,9104,,54.32
ACTR1A,10121,,54.31
B4GALT7,11285,,54.31
CADM3,57863,,54.31
COQ9,57017,,54.31
CORT,1325,,54.31
DSEL,92126,,54.31
GET1,7485,,54.31
GPR88,54112,,54.31
HUS1,3364,,54.31
LPIN3,64900,,54.31
MAN1B1,11253,,54.31
MARCHF5,54708,,54.31
MYOZ2,51778,,54.31
NBEAL1,65065,,54.31
NINL,22981,,54.31
OSBPL9,114883,,54.31
PUM1,9698,,54.31
RPS6KC1,26750,,54.31
STX6,10228,,54.31
TACR3,6870,,54.31
TMEM150C,441027,,54.31
YAF2,10138,,54.31
ZRSR2,8233,,54.31
FANCA,2175,,54.29
ADGRA1,84435,,54.26
CYP2B7P,1556,,54.26
CEBPB,1051,,54.23
BCKDHB,594,,54.21
C2CD2,25966,,54.21
CSF2RA,1438,,54.21
DLST,1743,,54.21
EPSTI1,94240,,54.21
GLG1,2734,,54.21
GNAZ,2781,,54.21
HEATR1,55127,,54.21
KCNAB2,8514,,54.21
NUMA1,4926,,54.21
PCCB,5096,,54.21
PTPN21,11099,,54.21
PURA,5813,,54.21
RBM24,221662,,54.21
SAMD9L,219285,,54.21
TNFSF15,9966,,54.21
ATP5MC1,516,,54.2
ATP6V0E2,155066,,54.2
CERS6,253782,,54.2
DKK2,27123,,54.2
EMCN,51705,,54.2
ERP44,23071,,54.2
EVA1A,84141,,54.2
FBXL4,26235,,54.2
FGFRL1,53834,,54.2
FNTB,2342,,54.2
FPR1,2357,,54.2
GFI1,2672,,54.2
MAN1A1,4121,,54.2
MYEF2,50804,,54.2
NANOS1,340719,,54.2
NDUFA9,4704,,54.2
PHF11,51131,,54.2
POLR1H,30834,,54.2
PREPL,9581,,54.2
RAB23,51715,,54.2
RALB,5899,,54.2
RETNLA,57262,,54.2
SETX,23064,,54.2
SOCS5,9655,,54.2
SPTLC3,55304,,54.2
TPST1,8460,,54.2
UBAP2L,9898,,54.2
UTP20,27340,,54.2
ZBTB43,23099,,54.2
ARHGAP26,23092,,54.15
CLTC,1213,,54.15
MTA1,9112,,54.15
PDE3B,5140,,54.15
RBPJ,3516,,54.15
WIPF1,7456,,54.15
INS1,16333,,54.12
AKR7A2,8574,,54.11
AFTPH,54812,,54.08
ATP13A3,79572,,54.08
CCDC69,26112,,54.08
CDCA4,55038,,54.08
CEP70,80321,,54.08
CLASP2,23122,,54.08
CLDN12,9069,,54.08
CUL4B,8450,,54.08
EFS,10278,,54.08
EVA1B,55194,,54.08
IGSF10,285313,,54.08
ISLR,3671,,54.08
LRP12,29967,,54.08
MARK3,4140,,54.08
MIB2,142678,,54.08
MMACHC,25974,,54.08
MYOM1,8736,,54.08
PHKA2,5256,,54.08
PPM1L,151742,,54.08
PSTPIP1,9051,,54.08
RBM26,64062,,54.08
SALL2,6297,,54.08
SEC61B,10952,,54.08
SERAC1,84947,,54.08
SMARCA1,6594,,54.08
TNFAIP1,7126,,54.08
TPRA1,131601,,54.08
ATF3,467,,54.04
GPT,2875,,54.04
UGT1A1,54658,,54.01
CCDC93,54520,,53.93
DAPL1,92196,,53.93
DHX35,60625,,53.93
DNALI1,7802,,53.93
FLT3LG,2323,,53.93
FLYWCH1,84256,,53.93
FSTL5,56884,,53.93
GRTP1,79774,,53.93
INVS,27130,,53.93
LAPTM4A,9741,,53.93
MAST3,23031,,53.93
MICU3,286097,,53.93
MTMR12,54545,,53.93
NDUFA4L2,56901,,53.93
PAQR6,79957,,53.93
PGBD5,79605,,53.93
PLGRKT,55848,,53.93
PNMA1,9240,,53.93
PROK1,84432,,53.93
RPE,6120,,53.93
TEDC1,283643,,53.93
TJAP1,93643,,53.93
TMEM168,64418,,53.93
TMEM259,91304,,53.93
WDFY2,115825,,53.93
SLC6A3,6531,,53.89
ATF1,466,,53.88
CD22,933,,53.88
RIPK4,54101,,53.88
SFRP4,6424,,53.88
SLC6A15,55117,,53.88
TOX3,27324,,53.88
TUBB4A,10382,,53.88
PLCG2,5336,,53.86
PFKFB1,5207,,53.85
PON3,5446,,53.85
STXBP1,6812,,53.85
UBE2L6,9246,,53.85
ADAMTS12,81792,,53.84
ARPC5,10092,,53.84
ATP5ME,521,,53.84
CRIPT,9419,,53.84
DOK5,55816,,53.84
GJB6,10804,,53.84
HLA-DRA,3122,,53.84
ISL2,64843,,53.84
KIF13B,23303,,53.84
LRRC58,116064,,53.84
MARS2,92935,,53.84
MICALL2,79778,,53.84
NCOA5,57727,,53.84
ORC3,23595,,53.84
PANK2,80025,,53.84
PKN1,5585,,53.84
PYCR2,29920,,53.84
STRADA,92335,,53.84
TMX3,54495,,53.84
UBE2D1,7321,,53.84
UBE2V1,7335,,53.84
WBP4,11193,,53.84
YIF1A,10897,,53.84
AGAP1,116987,,53.83
ALPP,250,,53.83
BCAS3,54828,,53.83
C1GALT1C1,29071,,53.83
CDK8,1024,,53.83
CELSR1,9620,,53.83
CRKL,1399,,53.83
EIF4E2,9470,,53.83
FAM102B,284611,,53.83
FKTN,2218,,53.83
FPGS,2356,,53.83
GPC6,10082,,53.83
MCFD2,90411,,53.83
MCOLN1,57192,,53.83
PITPNM1,9600,,53.83
SMARCD2,6603,,53.83
TMEM117,84216,,53.83
TRERF1,55809,,53.83
TNFRSF11B,4982,,53.81
G3BP1,10146,,53.76
RHEB,6009,,53.76
USB1,79650,,53.76
USP35,57558,,53.76
TFRC,7037,,53.75
XIAP,331,,53.75
GFAP,2670,,53.69
ADAMTS7,11173,,53.68
ATP5PO,539,,53.68
BCCIP,56647,,53.68
BCL11B,64919,,53.68
CD27,939,,53.68
CMSS1,84319,,53.68
CTPS,51797,,53.68
EXOC6,54536,,53.68
ITM2C,81618,,53.68
L3MBTL3,84456,,53.68
LARP4B,23185,,53.68
LSAMP,4045,,53.68
MBTD1,54799,,53.68
PDXP,57026,,53.68
RAP1GAP2,23108,,53.68
SHC4,399694,,53.68
SSR4,6748,,53.68
VCPIP1,80124,,53.68
ZC2HC1A,51101,,53.68
ZDHHC21,340481,,53.68
ZMYM5,9205,,53.68
ZNRF1,84937,,53.68
MAOA,4128,,53.66
MAPK3,5595,,53.66
PRDM1,639,,53.62
IGFBP2,3485,,53.57
AJUBA,84962,,53.56
ATL2,64225,,53.56
BLVRA,644,,53.56
CUL4A,8451,,53.56
CYP2R1,120227,,53.56
DDX60,55601,,53.56
DSCC1,79075,,53.56
FUT8,2530,,53.56
GCGR,2642,,53.56
INA,9118,,53.56
KAT6B,23522,,53.56
MOCOS,55034,,53.56
MSX2,4488,,53.56
NMT2,9397,,53.56
PCOLCE2,26577,,53.56
PHF20L1,51105,,53.56
PRKD3,23683,,53.56
REEP5,7905,,53.56
TECR,9524,,53.56
TMED10,10972,,53.56
WDR1,9948,,53.56
PRKCH,5583,,53.5
AFF1,4299,,53.48
ATP5H,71679,,53.48
COL17A1,1308,,53.48
ELMO1,9844,,53.48
F11,2160,marker/mechanism,53.48
FBXL20,84961,,53.48
HERC6,55008,,53.48
MSRB3,253827,,53.48
NAGLU,4669,,53.48
NPHP4,261734,,53.48
RPS9,6203,,53.48
UQCRQ,27089,,53.48
SMAD3,4088,,53.45
CADM2,253559,,53.4
CCDC15,80071,,53.4
CNOT8,9337,,53.4
HNRNPUL2,221092,,53.4
KCTD20,222658,,53.4
KDM1B,221656,,53.4
KRT2,3849,,53.4
MAD2L2,10459,,53.4
MED24,9862,,53.4
MMP24,10893,,53.4
MOAP1,64112,,53.4
MRPS16,51021,,53.4
NEK4,6787,,53.4
NFU1,27247,,53.4
PPIP5K1,9677,,53.4
PPWD1,23398,,53.4
UNC5D,137970,,53.4
AP3S1,1176,,53.38
CBLN1,869,,53.38
CHID1,66005,,53.38
COG4,25839,,53.38
FBXL7,23194,,53.38
GOLGA3,2802,,53.38
HAUS2,55142,,53.38
LPCAT4,254531,,53.38
MESP1,55897,,53.38
MGAT3,4248,,53.38
NMD3,51068,,53.38
PITRM1,10531,,53.38
QTRT1,81890,,53.38
RNF146,81847,,53.38
SNX1,6642,,53.38
TCTN1,79600,,53.38
TMEFF1,8577,,53.38
CTU2,348180,,53.3
FOXN2,3344,,53.3
HS1BP3,64342,,53.3
IQCB1,9657,,53.3
KCNIP2,30819,,53.3
MDP1,145553,,53.3
MED31,51003,,53.3
PCNX3,399909,,53.3
RNF185,91445,,53.3
TMEM138,51524,,53.3
B4GALT2,8704,,53.28
CARD6,84674,,53.28
CTSV,1515,,53.28
DYNC2I2,89891,,53.28
ECHDC3,79746,,53.28
EID3,493861,,53.28
EPRS,107508,,53.28
GSAP,54103,,53.28
HDDC3,374659,,53.28
KCNE2,9992,,53.28
KDM4A,9682,,53.28
NDUFC2,4718,,53.28
OSM,5008,,53.28
PLAGL2,5326,,53.28
RGS7,6000,,53.28
RHOBTB2,23221,,53.28
RTN3,10313,,53.28
RUFY3,22902,,53.28
SFXN5,94097,,53.28
TAF1D,79101,,53.28
TMEM14C,51522,,53.28
TRPM6,140803,,53.28
UGT8,7368,,53.28
AGPAT2,10555,,53.25
ATG3,64422,,53.25
ATP6V0C,527,,53.25
CYP21A2,1589,,53.25
FGF12,2257,,53.25
LHX2,9355,,53.25
MTDH,92140,,53.25
N4BP2L1,90634,,53.25
PRR11,55771,,53.25
RPL9,6133,,53.25
RUVBL1,8607,,53.25
SRP72,6731,,53.25
TNFRSF10D,8793,,53.25
TP63,8626,,53.22
SLCO1A2,6579,,53.15
SOX17,64321,,53.15
ADPGK,83440,,53.12
C4BPB,725,,53.12
CDR2,1039,,53.12
GAB2,9846,,53.12
HCFC1,3054,,53.12
HNRNPH3,3189,,53.12
ITPK1,3705,,53.12
KYAT3,56267,,53.12
NDUFS5,4725,,53.12
PEX2,5828,,53.12
PIEZO2,63895,,53.12
PILRA,29992,,53.12
PLCD4,84812,,53.12
RGMA,56963,,53.12
SDC3,9672,,53.12
TCEAL9,51186,,53.12
TWF1,5756,,53.12
S100A4,6275,,53.11
OTUD3,23252,,53.01
TCTN3,26123,,53.01
CPEB4,80315,,53
GAS5,60674,,53
HMGB3,3149,,53
POLE,5426,,53
MAP1LC3B,81631,,52.98
GRHL1,29841,,52.94
GSDMD,79792,,52.94
KCNK5,8645,,52.94
KTN1,3895,,52.94
NME4,4833,,52.94
PTBP1,5725,,52.94
SKA1,220134,,52.94
TOPBP1,11073,,52.94
CENPX,201254,,52.93
CNOT7,29883,,52.93
CNPY2,10330,,52.93
CRELD1,78987,,52.93
DIS3L2,129563,,52.93
FREM2,341640,,52.93
HOMER3,9454,,52.93
HS3ST2,9956,,52.93
HYAL2,8692,,52.93
HYKK,123688,,52.93
ICMT,23463,,52.93
IFT20,90410,,52.93
ITPKC,80271,,52.93
METTL8,79828,,52.93
MSTN,2660,,52.93
NDUFB1,4707,,52.93
NSD3,54904,,52.93
NUBP2,10101,,52.93
OSTF1,26578,,52.93
PABPC1L,80336,,52.93
PCDH20,64881,,52.93
POLR1E,64425,,52.93
RFNG,5986,,52.93
SDF4,51150,,52.93
SEMA4C,54910,,52.93
SLC5A9,200010,,52.93
SNTB2,6645,,52.93
TSR1,55720,,52.93
USP31,57478,,52.93
ZBED5,58486,,52.93
ADCK5,203054,,52.88
AGTRAP,57085,,52.88
BICD1,636,,52.88
CIART,148523,,52.88
CLDN14,23562,,52.88
CMTM8,152189,,52.88
CTR9,9646,,52.88
CYB5R2,51700,,52.88
CYP4A12A,277753,,52.88
CYRIA,81553,,52.88
DDX41,51428,,52.88
DERA,51071,,52.88
DLGAP2,9228,,52.88
DNMT3L,29947,,52.88
DSC1,1823,,52.88
EFCAB7,84455,,52.88
EVI2B,2124,,52.88
FGF4,2249,,52.88
GABRP,2568,,52.88
GABRR1,2569,,52.88
GMIP,51291,,52.88
HECA,51696,,52.88
HLA-E,3133,,52.88
KCTD17,79734,,52.88
MFSD10,10227,,52.88
NGRN,51335,,52.88
NOXO1,124056,,52.88
NXPH3,11248,,52.88
PAQR8,85315,,52.88
PITPNM2,57605,,52.88
PPP4R2,151987,,52.88
PPP6R1,22870,,52.88
PRKD2,25865,,52.88
RDH5,5959,,52.88
RFWD3,55159,,52.88
RHNO1,83695,,52.88
RNF187,149603,,52.88
RPL35A,6165,,52.88
SBF1,6305,,52.88
SCOC,60592,,52.88
SMCO4,56935,,52.88
SMTNL2,342527,,52.88
TNFAIP8L3,388121,,52.88
TTPAL,79183,,52.88
UCK1,83549,,52.88
USP11,8237,,52.88
WDSUB1,151525,,52.88
GDNF,2668,,52.85
MMP13,4322,,52.79
NCF1,653361,,52.79
CAMTA1,23261,,52.78
CCDC68,80323,,52.78
CD302,9936,,52.78
CENPJ,55835,,52.78
EML1,2009,,52.78
GLCCI1,113263,,52.78
HOMER2,9455,,52.78
MIS18BP1,55320,,52.78
NUS1,116150,,52.78
PDE1C,5137,,52.78
PLOD1,5351,,52.78
RAB6B,51560,,52.78
SEC23A,10484,,52.78
SMYD3,64754,,52.78
TBC1D8,11138,,52.78
TNRC6A,27327,,52.78
TREX1,11277,,52.78
TSC22D2,9819,,52.78
APP,351,,52.76
DHRS9,10170,,52.73
LRAT,9227,,52.73
MTHFD1,4522,,52.73
TEF,7008,,52.73
DEFB1,1672,,52.72
GCNT3,9245,,52.72
GULP1,51454,,52.72
HHIP,64399,,52.72
JAK3,3718,,52.72
KLF12,11278,,52.72
BAIAP2L2,80115,,52.69
CCDC137,339230,,52.69
CEP250,11190,,52.69
GPN1,11321,,52.69
KCND1,3750,,52.69
MOB3C,148932,,52.69
PPCDC,60490,,52.69
RPUSD2,27079,,52.69
TNRC6C,57690,,52.69
TTLL11,158135,,52.69
DOCK9,23348,,52.63
ELOVL1,64834,,52.63
EXOSC8,11340,,52.63
FLI1,2313,,52.63
PDP2,57546,,52.63
SEL1L3,23231,,52.63
FOXO3,2309,,52.56
ABHD11,83451,,52.5
ACVR1C,130399,,52.5
ALPK1,80216,,52.5
CASQ2,845,,52.5
CCDC88C,440193,,52.5
CRYAA,1409,,52.5
DCTD,1635,,52.5
FAHD1,81889,,52.5
HOOK2,29911,,52.5
HPDL,84842,,52.5
IFT122,55764,,52.5
LRRC20,55222,,52.5
LSM5,23658,,52.5
MAPK8IP1,9479,,52.5
MARCHF2,51257,,52.5
MBD3,53615,,52.5
NCAPD3,23310,,52.5
NCS1,23413,,52.5
OPCML,4978,,52.5
RBM19,9904,,52.5
RGS20,8601,,52.5
RNF6,6049,,52.5
S100A3,6274,,52.5
SLC32A1,140679,,52.5
STK38L,23012,,52.5
TDRD7,23424,,52.5
TRMT1,55621,,52.5
UHMK1,127933,,52.5
ZFPM2,23414,,52.5
CCNJ,54619,,52.49
CEP76,79959,,52.49
FAM133B,257415,,52.49
GATAD2B,57459,,52.49
GPRIN3,285513,,52.49
KCNA1,3736,,52.49
MED20,9477,,52.49
MKKS,8195,,52.49
MRPS33,51650,,52.49
NUDT6,11162,,52.49
PEX1,5189,,52.49
PRRC2B,84726,,52.49
RASA4,10156,,52.49
RILPL2,196383,,52.49
SNAPC1,6617,,52.49
SURF6,6838,,52.49
TLE5,166,,52.49
VDAC3,7419,,52.49
VIPR2,7434,,52.49
ZBTB7A,51341,,52.49
ZCCHC14,23174,,52.49
ZFYVE1,53349,,52.49
CDK1,983,,52.45
CYP2S1,29785,,52.45
SYT1,6857,,52.45
BACH2,60468,,52.44
CLPX,10845,,52.44
IFNB1,3456,,52.44
KBTBD11,9920,,52.44
RPIA,22934,,52.44
SERTAD2,9792,,52.44
SLC24A3,57419,,52.44
STIL,6491,,52.44
THPO,7066,,52.44
TMOD2,29767,,52.44
UBE4B,10277,,52.44
VAPB,9217,,52.44
WDR12,55759,,52.44
HPR,3250,,52.43
PIERCE1,138162,,52.43
SLC22A3,6581,,52.43
FTL,2512,,52.4
PNPLA2,57104,,52.4
CEP63,80254,,52.37
CHERP,10523,,52.37
COPS3,8533,,52.37
COX20,116228,,52.37
DDX31,64794,,52.37
IPP,3652,,52.37
JAGN1,84522,,52.37
MAP1S,55201,,52.37
