DCC_ID	Name	CAS_Number	BindingDB	ChEBI	DrugBank	KEGG Compound	KEGG Drug	PDB	PharmGKB	PubChem Compound	PubChem Substance
DCC0108	Altretamine	CAS:645-05-6	null	null	DB00488	null	null	null	PA164743136	2123	46505760
DCC0109	Fosinopril	CAS:98048-97-6	null	5163	DB00492	C07016	D00622	null	PA449710	55891	46506495
DCC0110	Entacapone	CAS:130929-57-6	null	4798	DB00494	C07943	D00781	null	PA164748726	5281081	46508734
DCC0111	Zidovudine	CAS:30516-87-1	50002692	10110	DB00495	C07210	D00413	null	PA451954	35370	46508240
DCC0112	Oxycodone	CAS:76-42-6	null	7852	DB00497	C08018	D05312	null	PA450741	5284603	46508908
DCC0113	Cimetidine	CAS:51481-61-9	22889	3699	DB00501	null	D00295	null	PA449001	2756	46505360
DCC0114	Ritonavir	CAS:155213-67-5	520	null	DB00503	C07240	D00427	RIT	PA451260	392622	46505050
DCC0115	Vancomycin	CAS:1404-90-6	null	28001	DB00512	C06689	D00212	DVV	PA451850	14969	46505261
DCC0067	Vinorelbine	CAS:71486-22-1	null	480999	DB00361	null	D08680	null	PA451881	null	null
DCC0068	Anidulafungin	CAS:166663-25-8	null	55346	DB00362	null	D03211	null	PA164742938	166548	46505616
DCC0069	Clozapine	CAS:5786-21-0	22869	3766	DB00363	C06924	D00283	null	PA449061	2818	46506474
DCC0070	Levonorgestrel	CAS:797-63-7	null	6443	DB00367	C08149	D00950	null	PA450656	13109	46508082
DCC0071	Meprobamate	CAS:57-53-4	null	null	DB00371	null	D00376	null	PA450377	4064	46508142
DCC0072	Timolol	CAS:26839-75-8	null	39465	DB00373	C07141	null	TIM	PA451690	null	null
DCC0073	Amlodipine	CAS:88150-42-9	null	2668	DB00381	C06825	null	null	PA448388	2162	46507214
DCC0074	Triamterene	CAS:396-01-0	6644	null	DB00384	null	D00386	null	PA451752	5546	46507623
DCC0075	Phenylephrine	CAS:59-42-7	null	8093	DB00388	C07441	null	null	PA450935	6041	46506961
DCC0076	Nimodipine	CAS:66085-59-4	50011690	7575	DB00393	C07267	D00438	null	PA450633	4497	46508497
DCC0077	Beclomethasone	CAS:5534-09-8	null	3002	DB00394	C07813	D00689	null	PA448547	null	null
DCC0078	Carisoprodol	CAS:78-44-4	null	3419	DB00395	C07927	D00768	null	PA448809	2576	46506377
DCC0081	Dexbrompheniramine	CAS:132-21-8	null	59269	DB00405	null	null	null	PA164746251	16960	46505186
DCC0082	Rosiglitazone	CAS:122320-73-4	28681	50122	DB00412	null	D00596	BRL	PA451283	77999	46504556
DCC0083	Ampicillin	CAS:69-53-4	null	28971	DB00415	C06574	D00204	AIC	PA448419	6249	46505346
DCC0079	Sorafenib	CAS:284461-73-0	16673	50924	DB00398	null	D08524	BAX	PA7000	216239	46505329
DCC0080	Zoledronate	CAS:118072-93-8	12578	null	DB00399	null	D01968	ZOL	PA10235	68740	46507310
DCC0084	Penicillin V	CAS:87-08-1	null	27446	DB00417	C08126	D05411	PNV	PA164745442	6869	46507164
DCC0085	Spironolactone	CAS:52-01-7	50228080	9241	DB00421	C07310	D00443	SNL	PA451483	5833	46508525
DCC0086	Methocarbamol	CAS:532-03-6	null	null	DB00423	null	D00402	null	PA164749506	4107	46507761
DCC0087	Triprolidine	CAS:486-12-4	null	null	DB00427	null	D01782	null	PA451797	5282443	46505403
DCC0088	Trifluridine	CAS:70-00-8	50132298	null	DB00432	null	D00391	null	PA451775	6256	46506192
DCC0089	Prochlorperazine	CAS:58-38-8	null	8435	DB00433	C07403	D00493	null	PA451114	4917	46509018
DCC0090	Bendroflumethiazide	CAS:73-48-3	null	3013	DB00436	C07758	D00650	null	PA448563	2315	46508672
DCC0091	Ceftazidime	CAS:78439-06-2	null	3508	DB00438	C06889	null	CAZ	PA448861	5481173	46506143
DCC0092	Cerivastatin	CAS:145599-86-6	18376	3558	DB00439	C07966	null	116	PA448897	446156	46505877
DCC0093	Trimethoprim	CAS:738-70-5	18069	9731	DB00440	C01965	D00145	null	PA451788	5578	46507125
DCC0125	Toremifene	CAS:89778-26-7	null	9635	DB00539	C08166	null	null	PA451731	3005573	46506087
DCC1191	Pravastatin	CAS:81093-37-0	20688	8361	DB00175	C01844	D00893	null	PA451089	54687	46504851
DCC1194	Amphetamine	CAS:300-62-9	null	2679	DB00182	C07514	null	null	PA448408	null	null
DCC1197	Lorazepam	CAS:846-49-1	null	null	DB00186	null	D00365	null	PA450267	3958	46508468
DCC1199	Phentermine	CAS:122-09-8	null	8080	DB00191	C07438	D05458	null	PA164748099	4771	46508515
DCC1200	Fluconazole	CAS:86386-73-4	25817	46081	DB00196	null	D00322	TPF	PA449653	3365	46505735
DCC1262	Palonosetron	CAS:119904-90-4	null	null	DB00377	null	null	null	PA10352	148211	46508530
DCC1267	Progestrone	CAS:57-83-0	null	17026	DB00396	C00410	D00066	1CA	PA451123	5994	46508968
DCC1355	Moexipril	CAS:103775-10-6	50084673	null	DB00691	C07704	null	null	PA164769059	91270	46508441
DCC1356	Phentolamine	CAS:50-60-2	50008789	null	DB00692	null	null	null	PA450926	5775	46506535
DCC1357	Daunorubicin	CAS:20830-81-3	null	4330	DB00694	C01907	null	BNR	PA449212	30323	46508433
DCC1417	Dacarbazine	CAS:4342-03-4	null	4305	DB00851	null	D00288	null	PA449197	null	null
DCC1422	Terbutaline	CAS:23031-25-6	25770	null	DB00871	C07129	null	null	PA451616	5403	46506887
DCC1412	Dobutamine	CAS:34368-04-2	50028971	4670	DB00841	C06967	D03879	null	PA449381	36811	46505241
DCC1414	Donepezil	CAS:120014-06-4	8960	53289	DB00843	null	D00670	null	PA449394	3152	46504803
DCC1203	Ticlopidine	CAS:55142-85-3	null	9588	DB00208	C07140	null	null	PA451686	5472	46504438
DCC1424	Clomifene	CAS:911-45-5	50170640	3752	DB00882	C06917	D00962	null	PA449046	null	null
DCC1425	Risedronate	CAS:105462-24-6	12576	null	DB00884	C08233	null	RIS	PA451255	5245	46507526
DCC1427	Granisetron	CAS:109889-09-0	50000483	null	DB00889	C07023	D04370	null	PA449809	3510	46505137
DCC1273	Methylphenidate	CAS:113-45-1	null	6887	DB00422	C07196	D04999	null	PA450464	4158	46505929
DCC1432	Remifentanil	CAS:132875-61-7	50012491	null	DB00899	C08021	null	null	PA451232	60815	46504538
DCC1433	Ethacrynic acid	CAS:58-54-8	null	4876	DB00903	null	D00313	EAA	PA449518	3278	46507562
DCC1434	Ondansetron	CAS:99614-02-5	50000493	null	DB00904	C07325	D00456	null	PA450705	4595	46504819
DCC1436	Zonisamide	CAS:68291-97-4	10888	10127	DB00909	C07504	D00538	null	PA451978	5734	46505278
DCC1361	Tamsulosin	CAS:106133-20-4	null	9398	DB00706	C07124	null	null	PA451583	129211	46507763
DCC1446	Oxymetazoline	CAS:1491-59-4	50027075	null	DB00935	C07363	null	null	PA164748840	4636	46505622
DCC1450	Fulvestrant	CAS:129453-61-8	50169743	31638	DB00947	null	D01161	null	PA164747170	null	null
DCC1453	Netilmicin	CAS:56391-56-1	null	7528	DB00955	C07657	null	null	PA164754913	null	null
DCC1423	Conivaptan	CAS:210101-16-9	null	681850	DB00872	null	D01236	null	PA164742939	151171	46504533
DCC1455	Pindolol	CAS:13523-86-9	null	8214	DB00960	C07445	D00513	null	PA450966	4828	46508362
DCC1459	Azelastine	CAS:58581-89-8	null	2950	DB00972	C07768	null	null	PA448517	2267	46507582
DCC1461	Isotretinoin	CAS:4759-48-2	null	6067	DB00982	null	D00348	null	PA450128	null	null
DCC1465	Rivastigmine	CAS:123441-03-2	10620	null	DB00989	C11766	D03822	null	PA451262	77991	46507452
DCC1431	Ethanol	CAS:64-17-5	null	16236	DB00898	C00469	D00068	168	PA448073	702	46506969
DCC1471	Busulfan	CAS:55-98-1	null	28901	DB01008	null	D00248	null	PA448691	2478	46506234
DCC1473	Cinacalcet	CAS:226256-56-0	null	48390	DB01012	null	null	null	PA164776671	156419	46506315
DCC1474	Clobetasol	CAS:25122-46-7	null	205919	DB01013	null	D01272	null	PA164744375	null	null
DCC1437	Paricalcitol	CAS:131918-61-1	null	7931	DB00910	C08127	D00930	null	PA450798	5281104	46505780
DCC1443	Azacitidine	CAS:320-67-2	null	2038	DB00928	C11262	D03021	null	PA451996	9444	46509032
DCC1444	Colesevelam	CAS:182815-44-7	null	null	DB00930	null	null	null	PA449095	null	null
DCC1454	Methylprednisolone	CAS:83-43-2	null	6888	DB00959	null	D00407	null	PA450466	6741	46504885
DCC1478	Ketoconazole	CAS:65277-42-1	31768	48339	DB01026	null	D00351	KTN	PA450146	null	null
DCC1479	Tolterodine	CAS:124937-51-5	null	9622	DB01036	C07750	D00646	null	PA164746757	null	null
DCC1481	Memantine	CAS:19982-08-2	50062599	null	DB01043	C13736	null	null	PA10364	4054	46506702
DCC1466	Exemestane	CAS:107868-30-4	null	4953	DB00990	C08162	D00963	null	PA449563	60198	46508243
DCC1468	Azathioprine	CAS:446-86-6	null	2948	DB00993	C06837	D00238	null	PA448515	2265	46508252
DCC1486	Isoproterenol	CAS:7683-59-2	25392	6046	DB01064	C07056	null	null	PA450121	3779	46507323
DCC1488	Clonazepam	CAS:1622-61-3	50019213	3756	DB01068	null	D00280	null	PA449050	2802	46507677
DCC1477	Mycophenolate acid	CAS:24280-93-1	19264	168396	DB01024	null	null	MOA	PA164748728	446541	46504559
DCC1491	Pilocarpine	CAS:54-71-7	null	39462	DB01085	C07474	D00525	null	PA450962	5910	46507475
DCC1493	Primaquine	CAS:90-34-6	50203193	8405	DB01087	C07627	null	null	PA451103	4908	46508222
DCC1494	Fluvastatin	CAS:93957-54-1	null	5136	DB01095	C07014	D07983	null	PA449688	1548972	46505668
DCC1445	Tipranavir	CAS:174484-41-4	558	null	DB00932	null	null	TPV	PA163522473	65027	46506257
DCC1500	Cefuroxime	CAS:55268-75-2	null	3515	DB01112	C06894	D00262	CES	PA448868	null	null
DCC1501	Papaverine	CAS:61-25-6	14754	null	DB01113	C06533	null	EV1	PA164745550	4680	46508003
DCC1502	Nifedipine	CAS:21829-25-4	50000778	7565	DB01115	C07266	D00437	null	PA450631	4485	46505103
DCC1482	Lubiprostone	CAS:136790-76-6	null	null	DB01046	C13707	D04790	null	PA164777012	656719	46505874
DCC1680	Saxagliptin	CAS:361442-04-8	null	618213	DB06335	null	D08996	null	PA165958362	11243969	99443245
DCC1681	Pertuzumab	CAS:380610-27-5	null	null	DB06366	null	D05446	null	null	null	null
DCC1682	Rilonacept	CAS:501081-76-1	null	null	DB06372	null	D06635	null	null	null	null
DCC1684	Ceftaroline fosamil	CAS:400827-46-5	null	70718	DB06590	null	D08884	null	null	null	null
DCC1489	Atazanavir	CAS:198904-31-3	13934	37924	DB01072	null	D01276	null	PA10251	148192	46508504
DCC1505	Gliclazide	CAS:21187-98-4	null	31654	DB01120	null	D01599	null	PA10892	3475	46505475
DCC1507	Dutasteride	CAS:164656-23-9	null	521033	DB01126	null	D03820	null	PA164749300	null	null
DCC1508	Bicalutamide	CAS:90357-06-5	18678	100717	DB01128	C08160	D00961	null	PA164746255	2375	46505386
DCC1509	Carvedilol	CAS:72956-09-3	25759	3441	DB01136	C06875	D00255	null	PA448817	2585	46505146
DCC1495	Leflunomide	CAS:75706-12-6	null	6402	DB01097	C07905	D00749	null	PA450192	3899	46506013
DCC1498	Sertraline	CAS:79617-96-2	null	9123	DB01104	C07246	D02360	null	PA451333	68617	46505341
DCC1503	Trimethaphan	CAS:7187-66-8	null	9728	DB01116	C07174	null	null	PA451784	23576	46508994
DCC1686	Apixaban	CAS:503612-47-3	19023	72296	DB06605	null	D03213	GG2	null	10182969	null
DCC1687	Bosutinib	CAS:380843-75-4	null	39112	DB06616	null	D03252	null	null	null	null
DCC1688	Axitinib	CAS:319460-85-0	null	66910	DB06626	null	D03218	null	PA164924493	null	null
DCC1689	Denosumab	CAS:615258-40-7	null	null	DB06643	null	D03684	null	PA166048634	null	null
DCC1690	Liraglutide	CAS:204656-20-2	null	71193	DB06655	null	D06404	null	PA165958364	null	null
DCC1515	Desipramine	CAS:50-47-5	35229	47781	DB01151	C06943	D07791	DSM	PA449233	2995	46504624
DCC1520	Cilostazol	CAS:73963-72-1	50070490	31401	DB01166	null	D01896	null	PA164746334	2754	46506317
DCC1521	Itraconazole	CAS:84625-61-6	null	6076	DB01167	null	D00350	null	PA450132	55283	46505954
DCC1522	Procarbazine	CAS:671-16-9	null	null	DB01168	C07402	D00478	null	PA451112	4915	46507706
DCC1569	Insulin glulisine	CAS:207748-29-6	null	null	DB01309	null	D04540	null	PA164760859	null	null
DCC1574	Lithium	CAS:7439-93-2	null	49713	DB01356	C15473	null	null	PA450243	28486	46505392
DCC1577	Calcium	null	null	22984	DB01373	null	null	null	PA448718	null	null
DCC1699	Norelgestromin	CAS:53016-31-2	null	null	DB06713	null	D05205	null	null	13752005	99443265
DCC1692	Golimumab	CAS:476181-74-5	null	null	DB06674	null	D04358	null	null	null	null
DCC1693	Belatacept	CAS:706808-37-9	null	null	DB06681	null	D03222	null	null	null	null
DCC1523	Moclobemide	CAS:71320-77-9	15613	null	DB01171	null	D02561	null	PA452615	4235	46504667
DCC1524	Escitalopram	CAS:128196-01-0	null	36791	DB01175	null	null	null	PA10074	146570	46507040
DCC1525	Idarubicin	CAS:58957-92-9	null	42068	DB01177	null	null	null	PA449961	42890	46506973
DCC1530	Oxymorphone	CAS:76-41-5	50001707	null	DB01192	C08019	null	null	PA450748	5284604	46505296
DCC1579	Magnesium hydroxide	CAS:7439-95-4	15	25107	DB01378	C00305	null	null	PA450287	888	46508750
DCC1584	Tiotropium	CAS:186691-13-4	null	null	DB01409	null	null	null	PA164769056	3086654	46504448
DCC1587	Paromomycin	CAS:1263-89-4	null	null	DB01421	null	null	null	PA164784023	165580	46505391
DCC1589	Alfacalcidol	CAS:41294-56-8	null	null	DB01436	null	D01518	null	PA164746469	5282181	46505115
DCC1590	Heroin	CAS:561-27-3	null	27808	DB01452	C06534	null	null	PA452619	5462328	46506839
DCC1704	Aluminum hydroxide	null	null	null	DB06723	null	null	null	null	null	null
DCC1705	Calcium carbonate	null	null	null	DB06724	null	null	null	null	null	null
DCC1702	Fosaprepitant	CAS:172673-20-0	null	null	DB06717	null	D06597	null	PA165958390	219090	99443269
DCC1703	Buserelin	CAS:57982-77-1	null	null	DB06719	null	null	null	null	null	null
DCC1707	Cabazitaxel	CAS:183133-96-2	null	63584	DB06772	null	D09755	null	PA165958401	9854073	99443289
DCC1710	Plerixafor	CAS:110078-46-1	null	120346	DB06809	null	D08971	null	PA165958410	65015	99443297
DCC1534	Rifapentine	CAS:61379-65-5	null	8861	DB01201	C08059	D00879	RPT	PA164783809	6323497	46507322
DCC1535	Mitoxantrone	CAS:65271-80-9	null	50729	DB01204	C11195	null	null	PA450526	4212	46504608
DCC1537	Lomustine	CAS:13010-47-4	null	null	DB01206	null	D00363	null	PA164749407	3950	46506562
DCC1539	Anastrozole	CAS:120511-73-1	10015	2704	DB01217	C08159	D00960	null	PA448432	2187	46504987
DCC1541	Quetiapine	CAS:111974-69-7	null	8707	DB01224	C07397	null	null	PA451201	5002	46504800
DCC1593	Dextroamphetamine	CAS:51-64-9	null	4469	DB01576	C07884	D03740	null	PA449269	5826	46506252
DCC1594	Chenodeoxycholic acid	CAS:128-13-2	null	9907	DB01586	C07880	D00734	IU5	PA451837	31401	46508795
DCC1595	Solifenacin	CAS:242478-37-1	null	null	DB01591	null	null	null	PA164783810	216457	46506006
DCC1599	Deferasirox	CAS:201530-41-8	null	null	DB01609	null	D03669	null	PA164760843	5493381	46506791
DCC1601	Hydroxychloroquine	CAS:118-42-3	null	null	DB01611	C07043	D08050	null	PA164777036	3652	46508459
DCC1613	Prostaglandin	CAS:13367-85-6	null	28099	DB02304	C05954	null	E2P	null	6441243	46507640
DCC1719	Ticagrelor	CAS:274693-27-5	null	null	DB08816	null	D09017	null	null	null	null
DCC1828	Flurandrenolide	CAS:1524-88-5	null	null	DB00846	null	D00328	null	null	null	7847394
DCC1829	Guanethidine monosulfate	CAS:645-43-2	null	null	DB01170	null	D04382	null	null	null	47206277
DCC1830	Hydroflumethiazide	CAS:135-09-1	null	null	DB00774	null	D00654	null	null	null	7847720
DCC1831	Hydroxyamphetamine	CAS:306-21-8	null	null	null	null	D04473	null	null	null	47206327
DCC1833	Isopropyl alcohol	CAS:67-63-0	null	null	null	null	D00137	null	null	null	7847205
DCC1834	Magnesium trisilicate	CAS:39365-87-2	null	null	null	null	D03271	null	null	null	17397423
DCC1836	Mequinol	CAS:150-76-5	null	null	null	null	D04926	null	null	null	47206678
DCC1542	Enoxaparin	CAS:9005-49-6	null	null	DB01225	null	null	null	PA449463	772	46507450
DCC1545	Metoclopramide	CAS:364-62-5	50000491	107736	DB01233	C07868	D00726	null	PA450475	4168	46505631
DCC1546	Aripiprazole	CAS:129722-12-9	null	31236	DB01238	C12564	D01164	null	PA10026	60795	46505745
DCC1614	Terlipressin	CAS:14636-12-5	null	null	DB02638	null	null	null	PA164781020	72081	46504626
DCC1615	Niacinamide	CAS:98-92-0	27507	17154	DB02701	C00153	D00036	NCA	null	936	46507386
DCC1622	1-propanol	CAS:71-23-8	null	28831	DB03175	C05979	null	POL	null	1031	46507424
DCC1624	Uracil	CAS:66-22-8	null	17568	DB03419	C00106	D00027	URA	null	1174	46504697
DCC1628	Fotemustine	CAS:92118-27-9	null	null	DB04106	null	null	null	null	46936889	46505097
DCC1637	Maraviroc	CAS:376348-65-1	null	null	DB04835	null	null	null	PA164768835	3002977	46508040
DCC1639	Ixabepilone	CAS:219989-84-1	null	null	DB04845	null	D04645	null	PA165958343	23305354	99443224
DCC1641	Nebivolol	CAS:99200-09-6	null	null	DB04861	null	D05127	null	PA151958426	71301	99443225
DCC1726	Pitavastatin	CAS:147511-69-1	null	32020	DB08860	C13334	D01862	null	PA142650384	null	null
DCC1727	Rilpivirine	CAS:500287-72-9	null	68606	DB08864	null	D09720	null	null	null	null
DCC1728	Brentuximab vedotin	CAS:914088-09-8	null	null	DB08870	null	D09587	null	null	null	null
DCC1733	Teriflunomide	CAS:163451-81-8	null	68540	DB08880	null	D10172	null	null	null	null
DCC1736	Aflibercept	CAS:862111-32-8	null	null	DB08885	null	D09574	null	null	null	null
DCC1737	Carfilzomib	CAS:868540-17-4	null	65347	DB08889	null	D08880	null	null	null	null
DCC1722	Azilsartan	CAS:147403-03-0	null	68845	DB08822	null	D08865	null	null	null	null
DCC1723	Deferiprone	CAS:30652-11-0	null	68554	DB08826	null	D07416	null	null	null	null
DCC1548	Clomipramine	CAS:303-49-1	50021927	47780	DB01242	C06918	D00811	CXX	PA449048	2801	46505157
DCC1551	Lisdexamfetamine	CAS:608137-32-2	null	null	DB01255	null	null	null	PA164748975	11597698	46505358
DCC1552	Darunavir	CAS:206361-99-1	8125	367163	DB01264	null	D03656	null	PA163522472	213039	46506908
DCC1555	Panitumumab	CAS:339177-26-3	null	null	DB01269	null	null	null	PA162373091	null	null
DCC1644	Voglibose	CAS:83480-29-9	50263044	null	DB04878	null	D01665	null	PA164752433	444020	46504462
DCC1648	Thymalfasin	CAS:62304-98-7	null	null	DB04900	null	null	null	PA164748387	null	null
DCC1649	Defibrotide	CAS:83712-60-1	null	null	DB04932	null	null	null	PA164749105	null	null
DCC1657	Vandetanib	CAS:443913-73-3	4655	49960	DB05294	null	D06407	null	null	null	null
DCC1740	Bedaquiline	CAS:843663-66-1	null	72292	DB08903	null	D09872	null	null	null	null
DCC1742	Fluticasone furoate	CAS:397864-44-7	null	null	DB08906	null	D06315	null	null	null	null
DCC1743	Canagliflozin	CAS:842133-18-0	null	73274	DB08907	null	D09592	null	null	null	null
DCC1744	Dimethyl fumarate	CAS:624-49-7	null	null	DB08908	null	null	null	null	null	null
DCC1745	Pomalidomide	CAS:19171-19-8	null	72690	DB08910	null	D08976	null	null	null	null
DCC1556	Ranibizumab	CAS:347396-82-1	null	null	DB01270	null	D05697	null	PA164746012	null	null
DCC1559	Arformoterol	CAS:67346-49-0	50151720	408174	DB01274	null	null	null	PA164743977	3083544	46506392
DCC1560	Exenatide	CAS:141758-74-9	null	null	DB01276	null	D04121	null	PA164749238	null	null
DCC1561	Iplex	CAS:68562-41-4	null	null	DB01277	null	D04870	null	PA164774876	null	null
DCC1658	Telaprevir	CAS:402957-28-2	50212208	68595	DB05521	null	D09012	null	PA165958354	3010818	null
DCC1659	Sodium stibogluconate	CAS:16037-91-5	null	28148	DB05630	null	D00582	null	PA164743129	null	null
DCC1661	Teicoplanin	CAS:61036-62-2	null	null	DB06149	C15820	D02142	null	PA164746244	null	null
DCC1662	Acetylcysteine	CAS:616-91-1	null	28939	DB06151	C06809	D00221	SC2	PA448033	12035	99443235
DCC1664	Canakinumab	CAS:914613-48-2	null	null	DB06168	null	D09315	null	null	null	null
DCC1749	Isophane insulin	CAS:53027-39-7	null	null	DB00041	null	D04547	null	null	null	null
DCC1810	Azatadine maleate	CAS:3978-86-7	null	null	DB00719	null	D00662	null	null	null	7847728
DCC1811	Betaxolol hydrochloride	CAS:63659-19-8	null	null	DB00195	null	D00598	null	null	null	7847664
DCC1812	Bromodiphenhydramine	CAS:1808-12-4	null	null	DB01237	null	D03166	null	null	null	17397320
DCC1813	Chloramphenicol	CAS:56-75-7	null	null	DB00446	null	D00104	null	null	null	7847172
DCC1564	Abatacept	CAS:332348-12-6	null	null	DB01281	null	D03203	null	PA164747080	null	null
DCC1567	Insulin aspart	CAS:116094-23-6	null	null	DB01306	null	D04475	null	PA164784029	null	null
DCC1666	Prasugrel	CAS:150322-43-3	null	null	DB06209	null	D05597	null	PA154410481	6918456	99443238
DCC1676	Tocilizumab	CAS:375823-41-9	null	null	DB06273	null	D02596	null	PA165292659	null	null
DCC1677	Teriparatide	CAS:52232-67-4	null	null	DB06285	null	D06078	null	PA451620	null	null
DCC1678	Temsirolimus	CAS:162635-04-3	null	null	DB06287	C15182	D06068	null	PA164746890	23724530	99443243
DCC1679	Amisulpride	CAS:53583-79-2	null	null	DB06288	null	null	null	PA162565877	2159	99443244
DCC1814	Chlorothiazide	CAS:58-94-6	null	null	DB00880	null	D00519	null	null	null	7847585
DCC1815	Dalfopristin	CAS:112362-50-2	null	null	DB01764	null	D00853	null	null	null	7847918
DCC1816	Deserpidine	CAS:131-01-1	null	null	DB01089	null	D08194	null	null	null	96024884
DCC1817	Desoxyribonuclease	CAS:9003-98-9	null	null	DB00003	null	null	null	null	null	103771371
DCC1819	Difenoxin	CAS:28782-42-5	null	null	DB01501	null	D03809	null	null	null	17397897
DCC1820	Dihydroergotamine mesylate	CAS:6190-39-2	null	null	DB00320	null	D02211	null	null	null	7849271
DCC1822	Edrophonium chloride	CAS:116-38-1	null	null	DB01010	null	D00994	null	null	null	7848057
DCC1823	Estradiol cypionate	CAS:313-06-4	null	null	null	null	D04063	null	null	null	47206020
DCC1824	Estrogens, esterified	null	null	null	null	null	D04071	null	null	null	47206027
DCC1825	Etidocaine hydrochloride	CAS:36637-19-1	null	null	null	null	D00737	null	null	null	7847802
DCC1826	Ferrous fumarate	CAS:141-01-5	null	null	null	null	D01194	null	null	null	7848257
DCC1827	Fibrinolysin	CAS:9001-90-5	null	null	null	null	D07422	null	null	null	51091756
DCC1129	Palifermin	CAS:162394-19-6	null	null	DB00039	null	null	null	PA164744014	null	null
DCC1131	Omalizumab	CAS:242138-07-4	null	null	DB00043	null	null	null	PA164752253	null	null
DCC1132	Humalog	CAS:133107-64-9	null	null	DB00046	null	D04477	null	PA164747059	null	null
DCC1204	Trospium chloride	CAS:10405-02-4	null	null	DB00209	null	D01103	null	PA164748976	5596	46506398
DCC1205	Midodrine	CAS:133163-28-7	null	6933	DB00211	C07890	null	null	PA164749381	4195	46507373
DCC1207	Citalopram	CAS:59729-33-8	25870	3723	DB00215	C07572	D07704	null	PA449015	2771	46508746
DCC1208	Moxifloxacin	CAS:354812-41-2	50146367	null	DB00218	C07663	null	null	PA450555	152946	46508509
DCC1209	Nelfinavir	CAS:159989-64-7	518	null	DB00220	C07257	null	null	PA450606	64143	46507719
DCC1280	Entecavir	CAS:142217-69-4	null	null	DB00442	null	D04008	null	PA164784025	153941	46504864
DCC1282	Droperidol	CAS:548-73-2	50017705	4717	DB00450	null	D00308	null	PA449422	3168	46505291
DCC1284	Meperidine	CAS:57-42-1	50026752	null	DB00454	C07128	null	null	PA450369	4058	46506899
DCC1285	Prazosin	CAS:19216-56-9	29568	8364	DB00457	C07368	null	null	PA451093	4893	46508594
DCC1363	Ibandronate	CAS:114084-78-5	12577	null	DB00710	null	null	BFQ	PA10270	60852	46508134
DCC1365	Oxacillin	CAS:66-79-5	null	7809	DB00713	C07334	null	105	PA450725	6196	46505710
DCC1367	Paroxetine	CAS:61869-08-7	22416	7936	DB00715	C07415	D02362	null	PA450801	43815	46504821
DCC1368	Adefovir	CAS:142340-99-6	50038612	null	DB00718	C11277	D01655	null	PA10005	60871	46507520
DCC1133	Insulin glargine	CAS:160337-95-1	null	null	DB00047	null	D03250	null	PA449992	null	null
DCC1135	Cetrorelix acetate	CAS:120287-85-6	null	59224	DB00050	null	D01685	null	PA164764506	null	null
DCC1136	Somatropin	CAS:12629-01-5	null	null	DB00052	null	null	null	PA451446	null	null
DCC1137	Abciximab	CAS:143653-53-6	null	null	DB00054	null	D02778	null	PA448006	null	null
DCC1210	Pregabalin	CAS:148553-50-8	50164279	64356	DB00230	null	D02716	null	PA164754814	5486971	46504934
DCC1218	Ziprasidone	CAS:146939-27-7	null	10119	DB00246	C07568	null	null	PA451974	60854	46507627
DCC1221	Doxycycline	CAS:564-25-0	50041429	50845	DB00254	C06973	null	null	PA449415	5281011	46506491
DCC1224	Carmustine	CAS:154-93-8	null	3423	DB00262	null	D00254	null	PA448810	2578	46506980
DCC1288	Verteporfin	CAS:129497-78-5	null	null	DB00460	null	D01162	null	PA451871	5362420	46506236
DCC1293	Duloxetine	CAS:136434-34-9	null	36795	DB00476	null	D01179	null	PA10066	60835	46507937
DCC1297	Cefotaxime	CAS:63527-52-6	null	204928	DB00493	C06885	null	CEF	PA448852	null	null
DCC1301	Norgestrel	CAS:6533-00-2	null	null	DB00506	null	null	null	null	null	null
DCC1302	Nitazoxanide	CAS:55981-09-4	50182652	null	DB00507	null	D02486	null	PA164754874	41684	46507813
DCC1370	Procaine	CAS:59-46-1	null	8430	DB00721	C07375	null	null	PA451110	4914	46507724
DCC1372	Nitroglycerin	CAS:55-63-0	null	28787	DB00727	C07455	D00515	null	PA450644	4510	46509120
DCC1374	Nateglinide	CAS:105816-04-4	null	146727	DB00731	C12508	D01111	null	PA450600	null	null
DCC1376	Risperidoene	CAS:106266-06-2	null	8871	DB00734	null	D00426	null	PA451257	5073	46505850
DCC1377	Esomeprazole	CAS:161796-78-7	null	50275	DB00736	null	D01984	null	PA10075	null	null
DCC1138	Gemtuzumab ozogamicin	CAS:220578-59-6	null	null	DB00056	null	null	null	PA164749431	null	null
DCC1140	Interferon beta 1a	CAS:145258-61-3	null	null	DB00060	null	null	null	PA450037	null	null
DCC1142	Eptifibatide	CAS:188627-80-7	null	null	DB00063	null	null	null	PA449483	null	null
DCC1143	Infliximab	CAS:170277-31-3	null	null	DB00065	null	null	null	PA452639	null	null
DCC1144	Follitropin beta	CAS:9002-68-0	null	null	DB00066	null	null	null	PA449693	null	null
DCC1145	Vasopressin	CAS:11000-17-2	null	null	DB00067	C00840	D00101	null	PA451858	null	null
DCC1227	Argatroban	CAS:74863-84-6	50101744	null	DB00278	C04931	null	null	PA164745516	152951	46507650
DCC1231	Venlafaxine	CAS:93413-69-5	null	9943	DB00285	C07187	D08670	null	PA451866	5656	46504593
DCC1234	Bleomycin sulfate	CAS:11056-06-7	50122169	22907	DB00290	C06854	null	BLM	PA448645	5360373	46509116
