DrugCombination_ID,Components_Name,DrugBank_ID,Label,Smiles
DC000327,Lamivudine; Tenofovir,DB00300/DB00709,1,[H][C@@](C)(CN1C=NC2=C(N)N=CN=C12)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C?NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1
DC000107,Emtricitabine; Tenofovir,DB00300/DB00879,1,[H][C@@](C)(CN1C=NC2=C(N)N=CN=C12)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C?NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1
DC000408,Doxorubicin; Mitomycin,DB00305/DB00997,1,[H][C@]12CN3C4=C([C@@H](COC(N)=O)[C@@]3(OC)[C@@]1([H])N2)C(=O)C(N)=C(C)C4=O?COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O
DC000056,Atenolol; Chlorthalidone,DB00310/DB00335,1,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12?CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1
DC007232,Chlorthalidone; Clonidine hydrochloride,DB00310/DB00575,1,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12?ClC1=CC=CC(Cl)=C1NC1=NCCN1
DC001041,Amiloride; Chlorthalidone,DB00310/DB00594,1,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12?NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N
DC007166,Azilsartan medoxomil; Chlorthalidone,DB00310/DB08822,1,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12?CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NOC(=O)N1)C(=CC=C2)C(=O)OCC1=C(C)OC(=O)O1
DC007212,Betaxolol hydrochloride; Chlorthalidone,DB00310/DB00195,1,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12?CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
DC007234,Chlorthalidone; Reserpine,DB00310/DB00206,1,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12?[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
DC002758,Olanzapine; Valproic Acid,DB00313/DB00334,1,CCCC(CCC)C(O)=O?CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2
DC000423,Lamotrigine; Valproic Acid,DB00313/DB00555,1,CCCC(CCC)C(O)=O?NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1
DC000405,Ethosuximide; Valproic Acid,DB00313/DB00593,1,CCCC(CCC)C(O)=O?CCC1(C)CC(=O)NC1=O
DC000253,Meropenem; Valproic Acid,DB00313/DB00760,1,CCCC(CCC)C(O)=O?[H][C@]1([C@@H](C)O)C(=O)N2C(C(O)=O)=C(S[C@@H]3CN[C@@H](C3)C(=O)N(C)C)[C@H](C)[C@]12[H]
DC000425,Gabapentin; Valproic Acid,DB00313/DB00996,1,CCCC(CCC)C(O)=O?NCC1(CC(O)=O)CCCCC1
DC002885,Doxorubicin; Valproic Acid,DB00313/DB00997,1,CCCC(CCC)C(O)=O?COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O
DC005062,Decitabine; Valproic Acid,DB00313/DB01262,1,CCCC(CCC)C(O)=O?NC1=NC(=O)N(C=N1)[C@H]1C[C@H](O)[C@@H](CO)O1
DC000697,Risperidoene; Valproic Acid,DB00313/DB00734,1,CCCC(CCC)C(O)=O?CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1
DC006476,Aripiprazole; Valproic Acid,DB00313/DB01238,1,CCCC(CCC)C(O)=O?ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl
DC002073,Lithium; Valproic Acid,DB00313/DB01356,1,CCCC(CCC)C(O)=O?[Li+]
DC000136,Acetaminophen; Codeine,DB00316/DB00318,1,CC(=O)NC1=CC=C(O)C=C1?[H][C@]12C=C[C@H](O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC
DC000146,Acetaminophen; Oxycodone,DB00316/DB00497,1,CC(=O)NC1=CC=C(O)C=C1?COC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5C
DC000252,Acetaminophen; Diclofenac,DB00316/DB00586,1,CC(=O)NC1=CC=C(O)C=C1?OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
DC000142,Acetaminophen; Propoxyphene,DB00316/DB00647,1,CC(=O)NC1=CC=C(O)C=C1?CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)CN(C)C)C1=CC=CC=C1
DC000144,Acetaminophen; Pentazocine,DB00316/DB00652,1,CC(=O)NC1=CC=C(O)C=C1?C[C@H]1[C@H]2CC3=CC=C(O)C=C3[C@]1(C)CCN2CC=C(C)C
DC000061,Acetaminophen; Ketoprofen,DB00316/DB01009,1,CC(=O)NC1=CC=C(O)C=C1?CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1
DC000148,Acetaminophen; Dihydrocodeine,DB00316/DB01551,1,CC(=O)NC1=CC=C(O)C=C1?[H][C@@]12OC3=C4C(C[C@H]5N(C)CC[C@@]14[C@@]5([H])CC[C@@H]2O)=CC=C3OC
DC005521,Acetaminophen; Telcagepant,DB00316/DCC0944,1,CC(=O)NC1=CC=C(O)C=C1?FC1=C(F)C(=CC=C1)[C@@H]1CC[C@@H](NC(=O)N2CCC(CC2)N2C(=O)NC3=C2C=CC=N3)C(=O)N(CC(F)(F)F)C1
DC003619,Gefitinib; Simvastatin,DB00317/DB00641,1,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1?[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC
DC000275,Gefitinib; Irinotecan,DB00317/DB00762,1,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1?CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=C12
DC001975,Docetaxel; Gefitinib,DB00317/DB01248,1,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1?[H][C@@]1(C[C@@]2(O)[C@@H](OC(=O)C3=CC=CC=C3)[C@]3([H])[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C)OC(C)=O)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1
DC006200,Gefitinib; Sunitinib,DB00317/DB01268,1,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1?CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C
DC002772,Fulvestrant; Gefitinib,DB00317/DB00947,1,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1?[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@@]21[H]
DC001856,Anastrozole; Gefitinib,DB00317/DB01217,1,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1?CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N
DC000215,Codeine; Promethazine,DB00318/DB01069,1,[H][C@]12C=C[C@H](O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC?CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C
DC007231,Chlorpheniramine polistirex; Codeine,DB00318/DB01114,1,[H][C@]12C=C[C@H](O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC?CN(C)CCC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1
DC007215,Bromodiphenhydramine hydrochloride; Codeine phosphate,DB00318/DB01237,1,[H][C@]12C=C[C@H](O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC?CN(C)CCOC(C1=CC=CC=C1)C1=CC=C(Br)C=C1
DC000196,Piperacillin; Tazobactam,DB00319/DB01606,1,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O?[H][C@@]12CC(=O)N1[C@@H](C(O)=O)[C@](C)(CN1C=CN=N1)S2(=O)=O
DC000064,Amitriptyline; Chlordiazepoxide,DB00321/DB00475,1,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12?CNC1=NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2)=[N+]([O-])C1
DC000264,Amitriptyline; Perphenazine,DB00321/DB00850,1,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12?OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
DC000394,Diazoxide; Nitroprusside,DB00325/DB01119,1,O=N[Fe--](C#N)(C#N)(C#N)(C#N)C#N?CC1=NS(=O)(=O)C2=C(N1)C=CC(Cl)=C2
DC007089,Ethambutol; Isoniazid,DB00330/DB00951,1,CC[C@@H](CO)NCCN[C@@H](CC)CO?NNC(=O)C1=CC=NC=C1
DC000158,Metformin; Rosiglitazone,DB00331/DB00412,1,CN(C)C(=N)NC(N)=N?CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1
DC005467,Metformin; Spironolactone,DB00331/DB00421,1,CN(C)C(=N)NC(N)=N?[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
DC000121,Metformin; Repaglinide,DB00331/DB00912,1,CN(C)C(=N)NC(N)=N?CCOC1=C(C=CC(CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N2CCCCC2)=C1)C(O)=O
DC000128,Doxorubicin; Metformin,DB00331/DB00997,1,CN(C)C(=N)NC(N)=N?COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O
DC000151,Glyburide; Metformin,DB00331/DB01016,1,CN(C)C(=N)NC(N)=N?COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
DC000153,Glipizide; Metformin,DB00331/DB01067,1,CN(C)C(=N)NC(N)=N?CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
DC000120,Metformin; Pioglitazone,DB00331/DB01132,1,CN(C)C(=N)NC(N)=N?CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1
DC000157,Metformin; Sitagliptin,DB00331/DB01261,1,CN(C)C(=N)NC(N)=N?N[C@@H](CC(=O)N1CCN2C(C1)=NN=C2C(F)(F)F)CC1=CC(F)=C(F)C=C1F
DC007164,Alogliptin benzoate; Metformin hydrochloride,DB00331/DB06203,1,CN(C)C(=N)NC(N)=N?CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O
DC003425,Lixisenatide; Metformin,DB00331/DCC0741,1,CN(C)C(=N)NC(N)=N?CC[C@H](C)[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)CNC(=O)[C@@H](N)CC1=CNC=N1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O
DC000770,Dapagliflozin; Metformin,DB00331/DCC0779,1,CN(C)C(=N)NC(N)=N?CCOC1=CC=C(CC2=C(Cl)C=CC(=C2)[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1
DC007173,Linagliptin; Metformin hydrochloride,DB00331/DB08882,1,CN(C)C(=N)NC(N)=N?CC#CCN1C(=NC2=C1C(=O)N(CC1=NC3=C(C=CC=C3)C(C)=N1)C(=O)N2C)N1CCC[C@@H](N)C1
DC002254,Folic acid; Metformin,DB00331/DB00158,1,CN(C)C(=N)NC(N)=N?NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
DC003746,Clomifene; Metformin,DB00331/DB00882,1,CN(C)C(=N)NC(N)=N?CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1
DC005339,Gliclazide; Metformin,DB00331/DB01120,1,CN(C)C(=N)NC(N)=N?[H][C@@]12CCC[C@]1([H])CN(C2)NC(=O)NS(=O)(=O)C1=CC=C(C)C=C1
DC007156,Metformin hydrochloride; Saxagliptin hydrochloride,DB00331/DB06335,1,CN(C)C(=N)NC(N)=N?[H][C@@]12C[C@]1([H])N([C@@H](C2)C#N)C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2
DC001969,Canagliflozin; Metformin,DB00331/DB08907,1,CN(C)C(=N)NC(N)=N?[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=CC=C(C)C(CC2=CC=C(S2)C2=CC=C(F)C=C2)=C1
DC000065,Ipratropium; Salbutamol,DB00332/DB01001,1,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(CO)C1=CC=CC=C1)[N+]2(C)C(C)C?CC(C)(C)NCC(O)C1=CC(CO)=C(O)C=C1
DC000005,Fluoxetine; Olanzapine,DB00334/DB00472,1,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2?CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
DC006337,Olanzapine; Sertraline,DB00334/DB01104,1,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2?CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12
DC005294,Atenolol; Losartan,DB00335/DB00678,1,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1?CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1
DC000125,Atenolol; Fingolimod,DB00335/DB08868,1,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1?CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1
DC000182,Methotrexate; Omeprazole,DB00338/DB00563,1,COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C?CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
DC006853,Diclofenac; Omeprazole,DB00338/DB00586,1,COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C?OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
DC000022,Amoxicillin; Omeprazole,DB00338/DB01060,1,COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C?[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O
DC000191,Omeprazole; Sodium bicarbonate,DB00338/DB01390,1,COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C?[Na+].OC([O-])=O
DC000123,PA-824; Pyrazinamide,DB00339/DB05154,1,NC(=O)C1=NC=CN=C1?[O-][N+](=O)C1=CN2C[C@@H](COC2=N1)OCC1=CC=C(OC(F)(F)F)C=C1
DC001396,Bedaquiline; Pyrazinamide,DB00339/DB08903,1,NC(=O)C1=NC=CN=C1?COC1=NC2=C(C=C(Br)C=C2)C=C1[C@@H](C1=CC=CC=C1)[C@@](O)(CCN(C)C)C1=CC=CC2=C1C=CC=C2
DC000164,Cetirizine; Pseudoephedrine,DB00341/DB00852,1,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1?CN[C@@H](C)[C@@H](O)C1=CC=CC=C1
DC007243,Diltiazem malate; Enalapril maleate,DB00343/DB00584,1,COC1=CC=C(C=C1)[C@@H]1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)[C@@H]1OC(C)=O?CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O
DC000127,Diltiazem; Fingolimod,DB00343/DB08868,1,COC1=CC=C(C=C1)[C@@H]1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)[C@@H]1OC(C)=O?CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1
DC002130,Aztreonam; Vancomycin,DB00355/DB00512,1,C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(=O)O)\C2=CSC([NH3+])=N2)C(=O)N1S([O-])(=O)=O?CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)C2=CC=C(OC3=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@H]4C[C@](C)(N)[C@H](O)[C@H](C)O4)C4=CC(=C3)[C@@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N[C@@H]1C3=CC(=C(O)C=C3)C3=C(O)C=C(O)C=C3[C@H](NC(=O)[C@@H](NC1=O)[C@H](O)C1=CC(Cl)=C(O4)C=C1)C(O)=O)C(Cl)=C2
DC000055,Aztreonam; Garenoxacin,DB00355/DCC0413,1,C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(=O)O)\C2=CSC([NH3+])=N2)C(=O)N1S([O-])(=O)=O?C[C@H]1NCC2=CC(=CC=C12)C1=CC=C2C(=O)C(=CN(C3CC3)C2=C1OC(F)F)C(O)=O
DC000385,Mefloquine; Methylene blue,DB00358/DCC0452,1,OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F?[Cl-].CN(C)C1=CC2=[S+]C3=C(C=CC(=C3)N(C)C)N=C2C=C1
DC001647,Artesunate; Mefloquine,DB00358/DCC0464,1,OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F?[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@@H](OC(=O)CCC(O)=O)[C@@H]2C)O4
DC003851,Cisplatin; Vinorelbine,DB00361/DB00515,1,[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC?[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]
DC006898,Docetaxel; Vinorelbine,DB00361/DB01248,1,[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC?[H][C@@]1(C[C@@]2(O)[C@@H](OC(=O)C3=CC=CC=C3)[C@]3([H])[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C)OC(C)=O)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1
DC000747,Neratinib; Vinorelbine,DB00361/DCC0904,1,[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC?CCOC1=C(NC(=O)\C=C\CN(C)C)C=C2C(NC3=CC=C(OCC4=CC=CC=N4)C(Cl)=C3)=C(C=NC2=C1)C#N
DC000379,Amphotericin B; Anidulafungin,DB00362/DB00681,1,[H][C@]1(NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)[C@H](C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C1=O)NC(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(OCCCCC)C=C1)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O?[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2
DC000059,Clozapine; Fluoxetine,DB00363/DB00472,1,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12?CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
DC000015,Estradiol; Levonorgestrel,DB00367/DB00783,1,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]?[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
DC007179,Ethinyl estradiol; Levonorgestrel,DB00367/DB00977,1,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]?[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
DC000036,Aspirin; Meprobamate,DB00371/DB00945,1,CCCC(C)(COC(N)=O)COC(N)=O?CC(=O)OC1=CC=CC=C1C(O)=O
DC000349,Brimonidine; Timolol,DB00373/DB00484,1,[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1?BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12
DC000235,Latanoprost; Timolol,DB00373/DB00654,1,[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1?CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCC1=CC=CC=C1
DC000073,Dorzolamide; Timolol,DB00373/DB00869,1,[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1?CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
DC000345,Bimatoprost; Timolol,DB00373/DB00905,1,[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1?CCNC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)CCC1=CC=CC=C1
DC007274,Hydrochlorothiazide; Timolol maleate,DB00373/DB00999,1,[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1?NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1
DC000238,Brinzolamide; Timolol,DB00373/DB01194,1,[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1?CCN[C@H]1CN(CCCOC)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
DC000462,Amlodipine; Benazepril,DB00381/DB00542,1,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC?[H][C@@]1(CCC2=CC=CC=C2N(CC(O)=O)C1=O)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
DC005396,Amlodipine; Losartan,DB00381/DB00678,1,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC?CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1
DC000284,Amlodipine; Perindopril,DB00381/DB00790,1,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC?[H][C@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O
DC000292,Amlodipine; Telmisartan,DB00381/DB00966,1,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC?CCCC1=NC2=C(C=C(C=C2C)C2=NC3=CC=CC=C3N2C)N1CC1=CC=C(C=C1)C1=CC=CC=C1C(O)=O
DC005184,Amlodipine; Hydrochlorothiazide,DB00381/DB00999,1,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC?NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1
DC007020,Amlodipine; Irbesartan,DB00381/DB01029,1,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC?CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1
