DrugCombination_ID	Components_Name	Componets_ID
DC001077	Hydroxychloroquine; Methotrexate; Sulfasalazine	DCC0131/DCC1399/DCC1601
DC000423	Lamotrigine; Valproic Acid	DCC0048/DCC0129
DC000424	3-BROP; Rapamycin	DCC0223/DCC0381
DC000425	Gabapentin; Valproic Acid	DCC0048/DCC0258
DC000426	Carbamazepine; Gabapentin	DCC0132/DCC0258
DC000427	Cimetidine; Fexofenadine	DCC0113/DCC0241
DC000428	Diclofenac; Tetracycline	DCC0138/DCC0187
DC000429	Naproxen; Tetracycline	DCC0187/DCC0196
DC000430	Fenofibrate; Simvastatin	DCC0157/DCC0276
DC000431	Erythromycin; Penicillin V	DCC0020/DCC0084
DC000432	Levetiracetam; Oxcarbazepine	DCC0192/DCC0316
DC000433	Lapatinib; Topotecan	DCC0271/DCC0332
DC000434	Iloprost; Sildenafil	DCC0022/DCC0293
DC000435	Gabapentin; Oxcarbazepine	DCC0192/DCC0258
DC000436	Aliskiren; Ramipril	DCC0015/DCC0331
DC000437	Dexmedetomidine; ST-91	DCC0154/DCC0433
DC000019	Articaine hydrochloride; Epinephrine	DCC0166/DCC0417
DC000020	Diphenhydramine; Ibuprofen	DCC0282/DCC0289
DC000021	Interferon; Tamoxifen	DCC0168/DCC0480
DC000022	Amoxicillin; Omeprazole	DCC0061/DCC0285
DC000023	Clofazimine; Ethambutol; Isoniazid; Rifabutin	DCC0056/DCC0147/DCC0212/DCC0242
DC000024	Cisplatin; Cytarabine	DCC0117/DCC0256
DC000025	Methotrexate; Rabeprazole	DCC0131/DCC0301
DC000026	Atovaquone; Proguanil	DCC0299/DCC0302
DC000027	Aspirin; Caffeine; Orphenadrine	DCC0021/DCC0240/DCC0310
DC000028	Colistin; Nystatin; Pipemidic acid	DCC0159/DCC0200/DCC0443
DC000029	Altretamine; Cisplatin; Cyclophosphamide; Fluorouracil	DCC0108/DCC0117/DCC0123/DCC0128
DC000030	Diazepam; Fentanyl	DCC0204/DCC0209
DC000195	Alogliptin; Glyburide	DCC0267/DCC0371
DC000196	Piperacillin; Tazobactam	DCC0052/DCC0352
DC000197	Polymyxin B Sulfate; Trimethoprim	DCC0093/DCC0193
DC000198	Prednisolone; Sulfacetamide	DCC0155/DCC0216
DC000199	Lamotrigine; Oxcarbazepine	DCC0129/DCC0192
DC000200	Cisplatin; Phenoxodiol	DCC0117/DCC0458
DC000201	Clindamycin; Tretinoin	DCC0186/DCC0313
DC000202	Gemfibrozil; Rosuvastatin	DCC0294/DCC0328
DC000203	"2'-Deoxyinosine; Fluorouracil"	DCC0128/DCC0360
DC000204	Doxorubicin; Paclitaxel	DCC0259/DCC0323
DC000205	Chlorpheniramine; Pseudoephedrine	DCC0214/DCC0298
DC000206	Chlorpheniramine; Hydrocodone	DCC0243/DCC0298
DC000207	Cilastatin; Imipenem	DCC0349/DCC0350
DC000208	Clavulanate; Ticarcillin	DCC0190/DCC0353
DC000209	Fexofenadine; Pseudoephedrine	DCC0214/DCC0241
DC000210	Desloratadine; Pseudoephedrine	DCC0214/DCC0248
DC000211	Colchicine; Probenecid	DCC0272/DCC0342
DC000212	Bortezomib; Lenalidomide	DCC0016/DCC0103
DC000213	Codeine; Pseudoephedrine; Triprolidine	DCC0051/DCC0087/DCC0214
DC000214	Adapalene; Benzoyl peroxide	DCC0025/DCC0468
DC000215	Codeine; Promethazine	DCC0051/DCC0287
DC000216	Cisplatin; Temozolomide	DCC0117/DCC0215
DC000217	Codeine; Phenylephrine; Promethazine	DCC0051/DCC0075/DCC0287
DC000218	Cisplatin; Rapamycin	DCC0117/DCC0223
DC000219	Methotrexate; Pantoprazole	DCC0026/DCC0131
DC000220	Lapatinib; Letrozole	DCC0264/DCC0332
DC000221	Lamivudine; Nevirapine; Stavudine	DCC0030/DCC0161/DCC0179
DC000222	Carboplatin; Docetaxel; Trastuzumab	DCC0008/DCC0245/DCC0329
DC000223	Pseudoephedrine; Triprolidine	DCC0087/DCC0214
DC000224	Methylseleninic acid; Tamoxifen	DCC0168/DCC0422
DC000225	Gemcitabine; Trastuzumab	DCC0008/DCC0094
DC000031	Cisplatin; Doxorubicin; Fluorouracil	DCC0117/DCC0128/DCC0259
DC000032	Captopril; Hydrochlorothiazide	DCC0260/DCC0315
DC000033	Aspirin; Oxycodone	DCC0112/DCC0240
DC000034	Candesartan; Hydrochlorothiazide	DCC0198/DCC0260
DC000035	Aspirin; Carisoprodol	DCC0078/DCC0240
DC000036	Aspirin; Meprobamate	DCC0071/DCC0240
DC000037	Naproxen; Sumatriptan	DCC0167/DCC0196
DC000038	Aspirin; Butalbital; Caffeine	DCC0021/DCC0031/DCC0240
DC000039	Aspirin; Carisoprodol; Codeine	DCC0051/DCC0078/DCC0240
DC000040	Aspirin; Butalbital; Caffeine; Codeine	DCC0021/DCC0031/DCC0051/DCC0240
DC000041	Aspirin; Dihydrocodeine	DCC0240/DCC0346
DC000042	Hydrochlorothiazide; Telmisartan	DCC0247/DCC0260
DC000043	Hydrochlorothiazide; Spironolactone	DCC0085/DCC0260
DC000044	Hydrochlorothiazide; Valsartan	DCC0014/DCC0260
DC000045	Hydrochlorothiazide; Triamterene	DCC0074/DCC0260
DC000046	Enalapril; Felodipine	DCC0137/DCC0269
DC000047	Trandolapril; Verapamil	DCC0119/DCC0165
DC000048	Aspirin; Methocarbamol	DCC0086/DCC0240
DC000049	Eprosartan; Hydrochlorothiazide	DCC0222/DCC0260
DC000050	Enalapril; Hydrochlorothiazide	DCC0137/DCC0260
DC000051	Flavopiridol; Phorbol 12-myristate-13-acetate	DCC0364/DCC0401
DC000052	Ceftazidime; Pefloxacin	DCC0091/DCC0107
DC000053	Garenoxacin; Piperacillin; Tazobactam	DCC0052/DCC0352/DCC0413
DC000054	Amikacin; Garenoxacin	DCC0102/DCC0413
DC000055	Aztreonam; Garenoxacin	DCC0065/DCC0413
DC000056	Atenolol; Chlorthalidone	DCC0047/DCC0060
DC000057	Caffeine; Ergotamine	DCC0021/DCC0175
DC000058	Hydrocodone; Ibuprofen	DCC0243/DCC0282
DC000059	Clozapine; Fluoxetine	DCC0069/DCC0100
DC000060	Didanosine; Indinavir; Zidovudine	DCC0028/DCC0111/DCC0228
DC000061	Acetaminophen; Ketoprofen	DCC0049/DCC0265
DC000062	Amikacin; Ceftriaxone	DCC0102/DCC0319
DC000063	Amikacin; Ceftazidime	DCC0091/DCC0102
DC000064	Amitriptyline; Chlordiazepoxide	DCC0053/DCC0101
DC000065	Ipratropium; Salbutamol	DCC0058/DCC0261
DC000066	Acrivastine; Pseudoephedrine	DCC0214/DCC0463
DC000067	Hydrocortisone; Pramoxine hydrochloride	DCC0184/DCC0395
DC000068	Acetaminophen; Dexbrompheniramine; Pseudoephedrine	DCC0049/DCC0081/DCC0214
DC000069	Acetaminophen; Clemastine; Pseudoephedrine	DCC0041/DCC0049/DCC0214
DC000070	Loratadine; Pseudoephedrine	DCC0098/DCC0214
DC000071	Ibuprofen; Oxycodone	DCC0112/DCC0282
DC000072	Naloxone; Pentazocine	DCC0163/DCC0312
DC000073	Dorzolamide; Timolol	DCC0072/DCC0219
DC000074	Ciprofloxacin; Dexamethasone	DCC0124/DCC0325
DC000075	Ciprofloxacin; Hydrocortisone	DCC0124/DCC0184
DC000076	Bisoprolol; Hydrochlorothiazide	DCC0145/DCC0260
DC000077	Hydrocortisone; Oxytetracycline	DCC0143/DCC0184
DC000078	Hydrocortisone; Neomycin; Polymyxin B Sulfate	DCC0184/DCC0193/DCC0257
DC000079	Colistin; Hydrocortisone; Neomycin; Thonzonium bromide	DCC0184/DCC0200/DCC0257/DCC0447
DC000080	Dexamethasone; Tobramycin	DCC0172/DCC0325
DC000081	Dextromethorphan; Tropicamide	DCC0116/DCC0202
DC000082	Ibuprofen; Pseudoephedrine	DCC0214/DCC0282
DC000083	Arzoxifene; LG100268	DCC0357/DCC0404
DC000084	Cisplatin; Docetaxel; Fluorouracil	DCC0117/DCC0128/DCC0329
DC000085	Raclopride; Topiramate	DCC0037/DCC0460
DC000086	Methdilazine; Prochlorperazine	DCC0089/DCC0229
DC000087	Amlodipine; Streptomycin	DCC0073/DCC0292
DC000088	Fludarabine; Rituximab	DCC0009/DCC0288
DC000089	Gefitinib; Trastuzumab	DCC0008/DCC0050
DC000090	Endomorphin-1; Kynurenic acid	DCC0408/DCC0435
DC000091	Amoxicillin; Clarithromycin; Lafutidine	DCC0285/DCC0318/DCC0385
DC000092	Dexmedetomidine; Endomorphin-1	DCC0154/DCC0408
DC000093	Cytarabine; Trimidox	DCC0256/DCC0469
DC000094	Endomorphin-1; Ketamine	DCC0320/DCC0408
DC000095	Cefepime; Garenoxacin	DCC0344/DCC0413
DC000096	Carboplatin; Paclitaxel; Sorafenib	DCC0079/DCC0245/DCC0323
DC000097	Garenoxacin; Imipenem	DCC0350/DCC0413
DC000098	Abacavir; Lamivudine; Zidovudine	DCC0111/DCC0179/DCC0281
DC000099	Bortezomib; Dexamethasone; Thalidomide	DCC0016/DCC0277/DCC0325
DC000100	Abacavir; Lamivudine	DCC0179/DCC0281
DC000101	Lamivudine; Zidovudine	DCC0111/DCC0179
DC000102	Bevacizumab; Cetuximab	DCC0001/DCC0012
DC000103	Lopinavir; Ritonavir	DCC0114/DCC0351
DC000104	Atorvastatin; Torcetrapib	DCC0290/DCC0419
DC000105	Efavirenz; Emtricitabine; Tenofovir	DCC0045/DCC0150/DCC0225
DC000106	Hydroxyurea; Magnesium pidolate	DCC0263/DCC0391
DC000107	Emtricitabine; Tenofovir	DCC0045/DCC0225
DC000108	Cyclosporine; Rapamycin	DCC0011/DCC0223
DC000109	Lidocaine; Tetracaine	DCC0040/DCC0467
DC000110	Acetaminophen; Aspirin; Codeine	DCC0049/DCC0051/DCC0240
DC000111	Lidocaine; Prilocaine	DCC0040/DCC0185
DC000112	Acetaminophen; Aspirin; Caffeine	DCC0021/DCC0049/DCC0240
DC000113	Lovastatin; Niacin	DCC0029/DCC0152
DC000114	Loteprednol Etabonate; Tobramycin	DCC0172/DCC0220
DC000115	Acetaminophen; Butalbital	DCC0031/DCC0049
DC000116	Isoniazid; Rifampin	DCC0242/DCC0280
DC000117	Isoniazid; Pyrazinamide; Rifampin	DCC0062/DCC0242/DCC0280
DC000118	Levonordefrin; Mepivacaine	DCC0246/DCC0373
DC000119	Lansoprazole; Naproxen	DCC0097/DCC0196
DC000120	Metformin; Pioglitazone	DCC0057/DCC0303
DC000121	Metformin; Repaglinide	DCC0057/DCC0233
DC000122	Niacin; Simvastatin	DCC0152/DCC0157
DC000123	PA-824; Pyrazinamide	DCC0062/DCC0407
DC000124	LY294002 ; Roscovitine	DCC0396/DCC0406
DC000125	Atenolol; Fingolimod	DCC0060/DCC0378
DC000126	Celecoxib; Perifosine	DCC0105/DCC0399
DC000127	Diltiazem; Fingolimod	DCC0064/DCC0378
DC000128	Doxorubicin; Metformin	DCC0057/DCC0259
DC000129	PA-824; Pyrazinamide; Rifampin	DCC0062/DCC0280/DCC0407
DC000130	Caffeine; Indomethacin; Prochlorperazine	DCC0021/DCC0055/DCC0089
DC000131	Asparaginase; Dexamethasone; Topotecan; Vincristine	DCC0004/DCC0126/DCC0271/DCC0325
DC000132	Paclitaxel; Trastuzumab	DCC0008/DCC0323
DC000133	Capecitabine; Cisplatin; Trastuzumab	DCC0008/DCC0117/DCC0295
DC000134	Fluorouracil; Raloxifene; Trimetrexate	DCC0104/DCC0128/DCC0307
DC000135	Bortezomib; Melphalan; Prednisone; Thalidomide	DCC0016/DCC0156/DCC0277/DCC0278
DC000136	Acetaminophen; Codeine	DCC0049/DCC0051
DC000137	Azithromycin; Mercaptopurine	DCC0024/DCC0273
DC000138	Acetaminophen; Caffeine; Dihydrocodeine	DCC0021/DCC0049/DCC0346
DC000139	Afatinib; Cetuximab	DCC0001/DCC0429
DC000140	Acetaminophen; Butalbital; Caffeine; Codeine	DCC0021/DCC0031/DCC0049/DCC0051
DC000141	Acetaminophen; Butalbital; Caffeine	DCC0021/DCC0031/DCC0049
DC000142	Acetaminophen; Propoxyphene	DCC0049/DCC0160
DC000143	Clarithromycin; Rifampin	DCC0280/DCC0318
DC000144	Acetaminophen; Pentazocine	DCC0049/DCC0163
DC000145	Mercaptopurine; Rifabutin	DCC0147/DCC0273
DC000146	Acetaminophen; Oxycodone	DCC0049/DCC0112
DC000147	Mercaptopurine; Rifampin	DCC0273/DCC0280
DC000148	Acetaminophen; Dihydrocodeine	DCC0049/DCC0346
DC000149	Clarithromycin; Mercaptopurine	DCC0273/DCC0318
DC000150	Naphazoline hydrochloride; Pheniramine	DCC0354/DCC0375
DC000151	Glyburide; Metformin	DCC0057/DCC0267
DC000152	Aspirin; Caffeine; Dihydrocodeine	DCC0021/DCC0240/DCC0346
DC000153	Glipizide; Metformin	DCC0057/DCC0286
DC000154	Acetaminophen; Tramadol	DCC0018/DCC0049
DC000155	Glimepiride; Rosiglitazone	DCC0027/DCC0082
DC000156	Glimepiride; Pioglitazone	DCC0027/DCC0303
DC000157	Metformin; Sitagliptin	DCC0057/DCC0333
DC000158	Metformin; Rosiglitazone	DCC0057/DCC0082
DC000159	Carbidopa; Levodopa	DCC0017/DCC0326
DC000160	Diclofenac; Quinidine	DCC0138/DCC0232
DC000161	Carbidopa; Entacapone; Levodopa	DCC0017/DCC0110/DCC0326
DC000162	Quinidine; Warfarin	DCC0171/DCC0232
DC000163	Chlorpheniramine; Ibuprofen; Pseudoephedrine	DCC0214/DCC0282/DCC0298
DC000164	Cetirizine; Pseudoephedrine	DCC0063/DCC0214
DC000165	Mycophenolate mofetil; Rifampin	DCC0173/DCC0280
DC000166	Amphotericin B; Miltefosine	DCC0170/DCC0450
DC000167	Adenoviral delivery of human P450R genes; Cisplatin; Tirapazamine	DCC0117/DCC0420/DCC0475
DC000168	Buprenorphine; Naloxone	DCC0236/DCC0312
DC000169	Cisplatin; Procainamide	DCC0117/DCC0275
DC000170	Gamma Hydroxybutyric Acid; Luteolin	DCC0345/DCC0434
DC000171	Acyclovir; Naproxen	DCC0195/DCC0196
DC000172	Amphotericin B; Posaconazole	DCC0170/DCC0335
DC000173	Acyclovir; Ketoprofen	DCC0195/DCC0265
DC000174	Arsenic sulfide; Imatinib	DCC0148/DCC0387
DC000175	Ciprofloxacin; Probenecid	DCC0124/DCC0272
DC000176	Imatinib; Temozolomide	DCC0148/DCC0215
DC000177	Famotidine; Probenecid	DCC0237/DCC0272
DC000178	Decitabine; Paclitaxel	DCC0323/DCC0334
DC000179	Gemifloxacin; Probenecid	DCC0272/DCC0305
DC000180	Neomycin; Polymyxin B Sulfate	DCC0193/DCC0257
DC000181	Cisplatin; Oxaliplatin	DCC0117/DCC0120
DC000182	Methotrexate; Omeprazole	DCC0061/DCC0131
DC000183	Naproxen; Pseudoephedrine	DCC0196/DCC0214
DC000184	Bortezomib; Cisplatin	DCC0016/DCC0117
DC000185	Furosemide; Lomefloxacin	DCC0174/DCC0253
DC000186	Nystatin; Triamcinolone	DCC0149/DCC0159
DC000187	Capecitabine; Imatinib	DCC0148/DCC0295
DC000188	Lomefloxacin; Ranitidine	DCC0217/DCC0253
DC000189	Neomycin; Polymyxin B Sulfate; Prednisolone	DCC0193/DCC0216/DCC0257
DC000190	Bortezomib; Carboplatin; Gemcitabine	DCC0016/DCC0094/DCC0245
DC000191	Omeprazole; Sodium bicarbonate	DCC0061/DCC0341
DC000192	Oxytetracycline; Polymyxin B Sulfate	DCC0143/DCC0193
DC000193	Alogliptin; Pioglitazone	DCC0303/DCC0371
DC000194	Phenylephrine; Promethazine	DCC0075/DCC0287
DC000001	Gramicidin D; Neomycin; Polymyxin B Sulfate	DCC0005/DCC0193/DCC0257
DC000002	Gentamicin; Prednisolone	DCC0199/DCC0216
DC000003	Fluocinolone Acetonide; Hydroquinone; Tretinoin	DCC0140/DCC0186/DCC0388
DC000004	Fluocinolone Acetonide; Tobramycin	DCC0140/DCC0172
DC000005	Fluoxetine; Olanzapine	DCC0059/DCC0100
DC000006	Fluticasone Propionate; Salmeterol	DCC0139/DCC0239
DC000007	Ethinyl Estradiol; Etonogestrel	DCC0042/DCC0252
DC000008	Drospirenone; Ethinyl Estradiol	DCC0252/DCC0343
DC000009	Drospirenone; Estradiol	DCC0194/DCC0343
DC000010	Ezetimibe; Simvastatin	DCC0157/DCC0250
DC000011	Ethinyl Estradiol; Ethynodiol Diacetate	DCC0207/DCC0252
DC000012	Mestranol; Norethindrone	DCC0180/DCC0340
DC000013	Estradiol; Norgestimate	DCC0194/DCC0244
DC000014	Erythromycin; Sulfisoxazole	DCC0020/DCC0035
DC000015	Estradiol; Levonorgestrel	DCC0070/DCC0194
DC000016	Epinephrine; Lidocaine	DCC0040/DCC0166
DC000017	Epinephrine; Prilocaine	DCC0166/DCC0185
DC000018	Bupivacaine; Epinephrine	DCC0044/DCC0166
DC001908	Metformin; Pioglitazone; Saxagliptin	DCC0057/DCC0303/DCC1680
DC001910	Atazanavir; Didanosine; Emtricitabine	DCC0225/DCC0228/DCC1489
DC001928	Alogliptin; Insulin	DCC0371/DCC1124
DC001932	Felodipine; Irbesartan	DCC0269/DCC0270
DC001949	Docetaxel; Epirubicin; Pegfilgrastim	DCC0096/DCC0329/DCC1120
DC001950	Carboplatin; Gemcitabine; Iniparib	DCC0094/DCC0245/DCC0622
DC001969	Canagliflozin; Metformin	DCC0057/DCC1743
DC001974	Clomipramine; Fluoxetine	DCC0100/DCC1548
DC001975	Docetaxel; Gefitinib	DCC0050/DCC0329
DC001982	Atenolol; Losartan; Propranolol	DCC0060/DCC0134/DCC0169
DC001986	Fluoxetine; Quetiapine	DCC0100/DCC1541
DC001998	Mifepristone; Oxytocin	DCC1166/DCC1411
DC002016	Bortezomib; Cyclophosphamide; Dexamethasone; Thalidomide	DCC0016/DCC0123/DCC0277/DCC0325
DC002017	Atorvastatin; Lovaza	DCC0290/DCC0859
DC002034	Aspirin; Bendamustine; Dexamethasone; Lenalidomide	DCC0103/DCC0240/DCC0325/DCC0628
DC002038	Docetaxel; Enzastaurin; Prednisone	DCC0156/DCC0329/DCC0634
DC002043	Insulin aspart; Repaglinide	DCC0233/DCC1567
DC002044	Cyclophosphamide; Docetaxel; Doxorubicin; Trastuzumab	DCC0008/DCC0123/DCC0259/DCC0329
DC002049	Liraglutide; Metformin	DCC0057/DCC1690
DC002056	Lopinavir; Raltegravir; Ritonavir	DCC0114/DCC0351/DCC0802
DC002058	Amphotericin B; Fluconazole	DCC0170/DCC1200
DC002069	Glatiramer Acetate; Interferon beta 1	DCC0370/DCC0601
DC002070	Carmustine; O6-benzylguanine	DCC0666/DCC1224
DC002073	Lithium; Valproic Acid	DCC0048/DCC1574
DC002079	Fluorouracil; Leucovorin; Oxaliplatin	DCC0120/DCC0128/DCC0162
DC002081	Lenalidomide; Rituximab	DCC0009/DCC0103
DC002088	Bevacizumab; Cetuximab; Erlotinib	DCC0001/DCC0012/DCC0122
DC002091	Hydroxychloroquine; Leflunomide; Methotrexate; Sulfasalazine	DCC0131/DCC1399/DCC1495/DCC1601
DC001261	Bortezomib; Decitabine	DCC0016/DCC0334
DC001264	Adefovir; Lamivudine	DCC0179/DCC1368
DC001268	Sildenafil; Tadalafil	DCC0022/DCC1407
DC001275	Aliskiren; Hydrochlorothiazide; Valsartan	DCC0014/DCC0260/DCC0331
DC001296	Dornase alfa; Mannitol	DCC1108/DCC1381
DC001309	Indacaterol maleate; Tiotropium	DCC0738/DCC1584
DC001326	Brimonidine; Latanoprost	DCC0106/DCC0164
DC001328	Fluorouracil; Sorafenib	DCC0079/DCC0128
DC001330	Docetaxel; Linifanib	DCC0329/DCC0853
DC001340	Axitinib; Gemcitabine	DCC0094/DCC1688
DC001351	Quetiapine; Risperidoene; Ziprasidone	DCC1218/DCC1376/DCC1541
DC001357	Aprepitant; Dexamethasone; Palonosetron	DCC0325/DCC1262/DCC1351
DC001365	Casopitant; Docetaxel	DCC0329/DCC0770
DC001367	Bortezomib; Doxorubicin	DCC0016/DCC0259
DC001372	Bevacizumab; Lapatinib	DCC0012/DCC0332
DC001396	Bedaquiline; Pyrazinamide	DCC0062/DCC1740
DC001403	Aspirin; Ticagrelor	DCC0240/DCC1719
DC001408	Atorvastatin; Fimasartan	DCC0290/DCC0700
DC001413	Afatinib; Paclitaxel	DCC0323/DCC0429
DC001414	Darunavir; Raltegravir; Ritonavir	DCC0114/DCC0802/DCC1552
DC001440	Aspirin; Dimethyl fumarate	DCC0240/DCC1744
DC001443	Emtricitabine; Nevirapine; Tenofovir	DCC0030/DCC0045/DCC0225
DC001444	Ethinyl Estradiol; Medroxyprogeterone acetate; Somatropin	DCC0252/DCC0908/DCC1136
DC001461	Golimumab; Methotrexate	DCC0131/DCC1692
DC001463	Capecitabine; Lapatinib	DCC0295/DCC0332
DC001473	Bevacizumab; Fluorouracil; Irinotecan; Leucovorin; Oxaliplatin	DCC0012/DCC0120/DCC0128/DCC0162/DCC0189
DC001481	Lenalidomide; Melphalan; Prednisone	DCC0103/DCC0156/DCC0278
DC001506	Bevacizumab; Capecitabine; Cetuximab; Oxaliplatin	DCC0001/DCC0012/DCC0120/DCC0295
DC001507	Capecitabine; Gemcitabine; Sorafenib	DCC0079/DCC0094/DCC0295
DC001518	Lamivudine; Maraviroc; Zidovudine	DCC0111/DCC0179/DCC1637
DC001523	Paclitaxel; Trebananib	DCC0323/DCC1020
DC001530	Acetaminophen; Diclofenac; Ibuprofen	DCC0049/DCC0138/DCC0282
DC001536	Capecitabine; Cyclophosphamide	DCC0123/DCC0295
DC001547	Ibritumomab tiuxetan; Rituximab	DCC0009/DCC0640
DC001551	Cyclophosphamide; Docetaxel; Doxorubicin	DCC0123/DCC0259/DCC0329
DC001562	Midazolam; Propofol	DCC0206/DCC1353
DC001567	Acetaminophen; Amoxicillin; Dextromethorphan; Guaifenesin; Pseudoephedrine	DCC0049/DCC0116/DCC0214/DCC0221/DCC0285
DC001571	Atorvastatin; Lisinopril; Losartan	DCC0169/DCC0181/DCC0290
DC001572	Everolimus; Mycophenolate acid	DCC0348/DCC1477
DC001575	Fluorouracil; Irinotecan; Leucovorin	DCC0128/DCC0162/DCC0189
DC001577	Capecitabine; Ixabepilone	DCC0295/DCC1639
DC001584	Everolimus; Letrozole	DCC0264/DCC0348
DC001606	Cytarabine; SCH 900776	DCC0256/DCC1017
DC001608	Glimepiride; Metformin	DCC0027/DCC0057
DC001647	Artesunate; Mefloquine	DCC0066/DCC0464
DC001689	Budesonide; Lansoprazole	DCC0097/DCC0321
DC001695	Brentuximab vedotin; Midazolam	DCC1353/DCC1728
DC001696	Dihydroartemisinin; Piperaquine	DCC0769/DCC0912
DC001709	Adefovir; Entecavir	DCC1280/DCC1368
DC001710	Lapatinib; Pazopanib hydrochloride	DCC0332/DCC0777
DC001728	Gemcitabine; Oxaliplatin	DCC0094/DCC0120
DC001735	Aspirin; Clopidogrel; Omeprazole	DCC0061/DCC0240/DCC1390
DC001740	Hydromorphone; Oxymorphone	DCC1247/DCC1530
DC001750	Dexamethasone; Pomalidomide	DCC0325/DCC1745
DC001777	Emtricitabine; Tenofovir; Zidovudine	DCC0045/DCC0111/DCC0225
DC001784	Amantadine; Metformin; Olanzapine; Zonisamide	DCC0057/DCC0059/DCC0234/DCC1436
DC001786	Bortezomib; Dexamethasone; Panobinostat	DCC0016/DCC0325/DCC0768
DC001802	Drotrecogin alfa; Fludrocortisone; Hydrocortisone	DCC0184/DCC0849/DCC1354
DC001808	Cyclophosphamide; Docetaxel; Epirubicin; Fluorouracil; Trastuzumab	DCC0008/DCC0096/DCC0123/DCC0128/DCC0329
DC001814	Peginterferon alfa-2b; Sorafenib	DCC0003/DCC0079
DC001830	Gemcitabine; Irinotecan; Panitumumab	DCC0094/DCC0189/DCC1555
DC001841	Bevacizumab; Capecitabine; Cisplatin; Fluorouracil	DCC0012/DCC0117/DCC0128/DCC0295
DC001856	Anastrozole; Gefitinib	DCC0050/DCC1539
DC001863	Heparin; Warfarin	DCC0171/DCC0296
DC001885	Bevacizumab; Lapatinib; Trastuzumab	DCC0008/DCC0012/DCC0332
DC001893	Lamivudine; Lopinavir; Ritonavir; Zidovudine	DCC0111/DCC0114/DCC0179/DCC0351
DC001901	Imatinib; Peginterferon alfa-2b	DCC0003/DCC0148
DC001904	Ivermectin; Mebendazole	DCC1330/DCC1339
DC002507	Aspirin; Clopidogrel	DCC0240/DCC1390
DC002516	Felodipine; Metoprolol	DCC0036/DCC0269
DC002520	Docetaxel; Doxorubicin	DCC0259/DCC0329
DC002521	Basiliximab; Rapamycin	DCC0223/DCC1149
DC002527	Lidocaine; Nitroglycerin	DCC0040/DCC1372
DC002555	Carboplatin; Iniparib; Paclitaxel	DCC0245/DCC0323/DCC0622
DC002605	Enbrel; Methotrexate	DCC0131/DCC1110
DC002608	Cytarabine; Daunorubicin; Filgrastim; Sargramostim; Zosuquidar trihydrochloride	DCC0256/DCC0630/DCC1121/DCC1162/DCC1357
DC002614	Mycophenolate mofetil; Prednisone; Rapamycin	DCC0156/DCC0173/DCC0223
DC002618	Cholecalciferol; Sertraline	DCC0887/DCC1498
DC002634	Carboplatin; Paclitaxel; Sepantronium bromide	DCC0245/DCC0323/DCC0945
DC002652	Brivaracetam; Levetiracetam; Lorazepam	DCC0316/DCC1098/DCC1197
DC002656	Azithromycin; Pyrimethamine; Sulfadoxine	DCC0023/DCC0024/DCC0339
DC002672	Bevacizumab; Cyclophosphamide; Docetaxel; Epirubicin	DCC0012/DCC0096/DCC0123/DCC0329
DC002827	Betaine; Creatine; Levomefolic acid; Vitamin B12CN	DCC0013/DCC0520/DCC0585/DCC1181
DC002836	Ethinyl Estradiol; Norethindrone	DCC0180/DCC0252
DC002845	Mitoxantrone; Prednisone	DCC0156/DCC1535
DC002846	Cyclophosphamide; Doxorubicin; Fluorouracil	DCC0123/DCC0128/DCC0259
DC002847	Diphenhydramine; Temsirolimus	DCC0289/DCC1678
DC002867	Azithromycin; Rifampin	DCC0024/DCC0280
DC002876	Ranibizumab; Verteporfin	DCC1288/DCC1556
DC002878	Elesclomol; Paclitaxel	DCC0323/DCC0789
DC002885	Doxorubicin; Valproic Acid	DCC0048/DCC0259
DC002890	Doxycycline; Rifampin	DCC0280/DCC1221
DC002891	Insulin aspart; Metformin	DCC0057/DCC1567
DC002949	Dacarbazine; Ipilimumab	DCC0787/DCC1417
DC002951	Naltrexone; Sertraline	DCC0177/DCC1498
DC002953	Artesunate; Pyrimethamine; Sulfalene	DCC0023/DCC0464/DCC1347
DC002973	Atazanavir; Cobicistat; Emtricitabine; Tenofovir	DCC0045/DCC0225/DCC0494/DCC1489
DC002977	Carboplatin; Cyclophosphamide; Docetaxel; Doxorubicin; Trastuzumab	DCC0008/DCC0123/DCC0245/DCC0259/DCC0329
DC002983	Cisplatin; Fluorouracil; Interferon alfa-2b	DCC0117/DCC0128/DCC1165
DC002985	Anti-thymocyte globulin; Rapamycin; Tacrolimus	DCC0218/DCC0223/DCC1161
DC003000	Cytarabine; Lintuzumab	DCC0256/DCC0629
DC003011	Cyclophosphamide; Doxorubicin; Gemcitabine; Paclitaxel	DCC0094/DCC0123/DCC0259/DCC0323
DC003030	Adefovir; Entecavir; Lamivudine	DCC0179/DCC1280/DCC1368
DC003031	Clopidogrel; Prasugrel	DCC1390/DCC1666
DC002684	Aspirin; Clopidogrel; Prasugrel	DCC0240/DCC1390/DCC1666
DC002686	Ethacrynic acid; Rosiglitazone	DCC0082/DCC1433
DC002689	Docetaxel; Paclitaxel; Trastuzumab	DCC0008/DCC0323/DCC0329
DC002701	Docetaxel; Erlotinib	DCC0122/DCC0329
DC002713	Adalimumab; Betamethasone; Calcipotriol	DCC0007/DCC0095/DCC0358
