DrugBank ID,Name,Drug Groups,SMILES
DB00681,Amphotericin B,approved; investigational,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2
DB00682,Warfarin,approved,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2
DB00683,Midazolam,approved; illicit,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12
DB00684,Tobramycin,approved; investigational,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O
DB00685,Trovafloxacin,approved; investigational; withdrawn,[H][C@@]12CN(C[C@]1([H])[C@H]2N)C1=NC2=C(C=C1F)C(=O)C(=CN2C1=C(F)C=C(F)C=C1)C(O)=O
DB00686,Pentosan polysulfate,approved,O[C@@H]1CO[C@@H](O[C@@H]2CO[C@@H](O)[C@H](OS(O)(=O)=O)[C@H]2OS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@H]1OS(O)(=O)=O
DB00687,Fludrocortisone,approved; investigational,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C
DB00688,Mycophenolate mofetil,approved; investigational,COC1=C(C\C=C(/C)CCC(=O)OCCN2CCOCC2)C(O)=C2C(=O)OCC2=C1C
DB00689,Cephaloglycin,approved,[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
DB00690,Flurazepam,approved; illicit; investigational,CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F
DB00691,Moexipril,approved,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC(OC)=C(OC)C=C2C[C@H]1C(O)=O
DB00692,Phentolamine,approved,CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC(O)=CC=C1
DB00693,Fluorescein,approved,OC1=CC=C2C(OC3=CC(O)=CC=C3C22OC(=O)C3=C2C=CC=C3)=C1
DB00694,Daunorubicin,approved,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(C)=O)C(O)=C1C2=O
DB00695,Furosemide,approved; vet_approved,NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O
DB00696,Ergotamine,approved,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)C4=C3)O[C@@]21O
DB00697,Tizanidine,approved; investigational,ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1
DB00698,Nitrofurantoin,approved; vet_approved,[O-][N+](=O)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O
DB00699,Nicergoline,approved; investigational,[H][C@@]12CC3=CN(C)C4=CC=CC(=C34)[C@]1(C[C@@H](COC(=O)C1=CN=CC(Br)=C1)CN2C)OC
DB00700,Eplerenone,approved,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)C[C@H]1O[C@@]11[C@@]2([H])[C@@H](CC2=CC(=O)CC[C@]12C)C(=O)OC
DB00701,Amprenavir,approved; investigational,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1
DB00703,Methazolamide,approved,CN1N=C(S\C1=N\C(C)=O)S(N)(=O)=O
DB00704,Naltrexone,approved; investigational; vet_approved,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O
DB00705,Delavirdine,approved,CC(C)NC1=C(N=CC=C1)N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC(NS(C)(=O)=O)=C2
DB00706,Tamsulosin,approved; investigational,CCOC1=CC=CC=C1OCCN[C@H](C)CC1=CC(=C(OC)C=C1)S(N)(=O)=O
DB00708,Sufentanil,approved; investigational,CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1
DB00709,Lamivudine,approved; investigational,NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1
DB00710,Ibandronate,approved; investigational,CCCCCN(C)CCC(O)(P(O)(O)=O)P(O)(O)=O
DB00711,Diethylcarbamazine,approved; investigational; vet_approved,CCN(CC)C(=O)N1CCN(C)CC1
DB00712,Flurbiprofen,approved; investigational,CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1
DB00713,Oxacillin,approved; investigational,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=CC=CC=C1)C(O)=O
DB00714,Apomorphine,approved; investigational,[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23
DB00715,Paroxetine,approved; investigational,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1
DB00716,Nedocromil,approved; investigational,CCCC1=C2N(CC)C(=CC(=O)C2=CC2=C1OC(=CC2=O)C(O)=O)C(O)=O
DB00717,Norethisterone,approved,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
DB00718,Adefovir dipivoxil,approved; investigational,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N)N=CN=C12)OCOC(=O)C(C)(C)C
DB00719,Azatadine,approved,CN1CCC(CC1)=C1C2=CC=CC=C2CCC2=C1N=CC=C2
DB00720,Clodronic acid,approved; investigational; vet_approved,OP(O)(=O)C(Cl)(Cl)P(O)(O)=O
DB00721,Procaine,approved; investigational; vet_approved,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1
DB00722,Lisinopril,approved; investigational,NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O
DB00723,Methoxamine,approved; investigational,COC1=CC(C(O)C(C)N)=C(OC)C=C1
DB00724,Imiquimod,approved; investigational,CC(C)CN1C=NC2=C1C1=C(C=CC=C1)N=C2N
DB00725,Homatropine methylbromide,approved,[Br-].C[N+]1(C)C2CCC1CC(C2)OC(=O)C(O)C1=CC=CC=C1
DB00726,Trimipramine,approved,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12
DB00727,Nitroglycerin,approved; investigational,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O
DB00728,Rocuronium,approved,[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)[C@H](C[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1
DB00730,Thiabendazole,approved; vet_approved,N1C2=CC=CC=C2N=C1C1=CSC=N1
DB00731,Nateglinide,approved; investigational,CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O
DB00732,Atracurium besylate,approved,[O-]S(=O)(=O)C1=CC=CC=C1.[O-]S(=O)(=O)C1=CC=CC=C1.COC1=CC2=C(C=C1OC)C(CC1=CC(OC)=C(OC)C=C1)[N+](C)(CCC(=O)OCCCCCOC(=O)CC[N+]1(C)CCC3=C(C=C(OC)C(OC)=C3)C1CC1=CC(OC)=C(OC)C=C1)CC2
DB00733,Pralidoxime,approved; vet_approved,C[N+]1=C(\C=N\O)C=CC=C1
DB00734,Risperidone,approved; investigational,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1
DB00735,Naftifine,approved,CN(CC=CC1=CC=CC=C1)CC1=CC=CC2=CC=CC=C12
DB00736,Esomeprazole,approved; investigational,COC1=CC2=C(NC(=N2)[S@@](=O)CC2=NC=C(C)C(OC)=C2C)C=C1
DB00737,Meclizine,approved,CC1=CC(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)=CC=C1
DB00738,Pentamidine,approved; investigational,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1
DB00739,Hetacillin,approved; vet_approved; withdrawn,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2N1C(=O)[C@H](NC1(C)C)C1=CC=CC=C1)C(O)=O
DB00740,Riluzole,approved; investigational,NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2
DB00741,Hydrocortisone,approved; vet_approved,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
DB00742,Mannitol,approved; investigational,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
DB00743,Gadobenic acid,approved; investigational,[Gd+3].OC(=O)CN(CCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O)C(COCC1=CC=CC=C1)C(O)=O
DB00744,Zileuton,approved; investigational; withdrawn,CC(N(O)C(N)=O)C1=CC2=CC=CC=C2S1
DB00745,Modafinil,approved; investigational,NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
DB00746,Deferoxamine,approved; investigational,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
DB00747,Scopolamine,approved; investigational,CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1
DB00748,Carbinoxamine,approved,CN(C)CCOC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1
DB00749,Etodolac,approved; investigational; vet_approved,CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1
DB00750,Prilocaine,approved,CCCNC(C)C(=O)NC1=CC=CC=C1C
DB00751,Epinastine,approved; investigational,NC1=NCC2N1C1=CC=CC=C1CC1=CC=CC=C21
DB00752,Tranylcypromine,approved; investigational,NC1CC1C1=CC=CC=C1
DB00753,Isoflurane,approved; vet_approved,FC(F)OC(Cl)C(F)(F)F
DB00754,Ethotoin,approved,CCN1C(=O)NC(C1=O)C1=CC=CC=C1
DB00755,Tretinoin,approved; investigational; nutraceutical,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O
DB00756,Hexachlorophene,approved; withdrawn,OC1=C(CC2=C(O)C(Cl)=CC(Cl)=C2Cl)C(Cl)=C(Cl)C=C1Cl
DB00757,Dolasetron,approved; investigational,[H][C@@]1(C[C@@]2([H])C[C@]3([H])C[C@@]([H])(C1)N2CC3=O)OC(=O)C1=CNC2=C1C=CC=C2
DB00758,Clopidogrel,approved,[H][C@@](N1CCC2=C(C1)C=CS2)(C(=O)OC)C1=CC=CC=C1Cl
DB00759,Tetracycline,approved; vet_approved,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O
DB00760,Meropenem,approved; investigational,[H][C@]1([C@@H](C)O)C(=O)N2C(C(O)=O)=C(S[C@@H]3CN[C@@H](C3)C(=O)N(C)C)[C@H](C)[C@]12[H]
DB00761,Potassium chloride,approved; withdrawn,[Cl-].[K+]
DB00762,Irinotecan,approved; investigational,CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=C12
DB00763,Methimazole,approved,CN1C=CNC1=S
DB00765,Metyrosine,approved,C[C@](N)(CC1=CC=C(O)C=C1)C(O)=O
DB00766,Clavulanic acid,approved; vet_approved,[H][C@@]12CC(=O)N1[C@@H](C(O)=O)\C(O2)=C\CO
DB00768,Olopatadine,approved,CN(C)CC\C=C1\C2=CC=CC=C2COC2=C1C=C(CC(O)=O)C=C2
DB00769,Hydrocortamate,approved,[H][C@@]12CC[C@](O)(C(=O)COC(=O)CN(CC)CC)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
DB00770,Alprostadil,approved; investigational,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O
DB00771,Clidinium,approved,C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
DB00772,Malathion,approved; investigational,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
DB00773,Etoposide,approved,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@@H]1O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O
DB00774,Hydroflumethiazide,approved; investigational; withdrawn,NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1C(F)(F)F
DB00775,Tirofiban,approved,CCCCS(=O)(=O)N[C@@H](CC1=CC=C(OCCCCC2CCNCC2)C=C1)C(O)=O
DB00776,Oxcarbazepine,approved,NC(=O)N1C2=CC=CC=C2CC(=O)C2=C1C=CC=C2
DB00777,Propiomazine,approved,CCC(=O)C1=CC2=C(SC3=CC=CC=C3N2CC(C)N(C)C)C=C1
DB00778,Roxithromycin,approved; investigational; withdrawn,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=NOCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O
DB00779,Nalidixic acid,approved; investigational,CCN1C=C(C(O)=O)C(=O)C2=C1N=C(C)C=C2
DB00780,Phenelzine,approved,NNCCC1=CC=CC=C1
DB00782,Propantheline,approved,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=CC=CC=C12)C(C)C
DB00783,Estradiol,approved; investigational; vet_approved,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
DB00784,Mefenamic acid,approved,CC1=C(C)C(NC2=CC=CC=C2C(O)=O)=CC=C1
DB00787,Acyclovir,approved,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2
DB00788,Naproxen,approved; vet_approved,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O
DB00789,Gadopentetic acid,approved,[Gd+3].OC(=O)CN(CCN(CCN(CC(O)=O)CC([O-])=O)CC([O-])=O)CC([O-])=O
DB00790,Perindopril,approved,[H][C@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O
DB00791,Uracil mustard,approved,ClCCN(CCCl)C1=CNC(=O)NC1=O
DB00792,Tripelennamine,approved; vet_approved,CN(C)CCN(CC1=CC=CC=C1)C1=CC=CC=N1
DB00793,Haloprogin,approved; withdrawn,ClC1=CC(Cl)=C(Cl)C=C1OCC#CI
DB00794,Primidone,approved; vet_approved,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1
DB00795,Sulfasalazine,approved,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1
DB00796,Candesartan cilexetil,approved,CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1)C(=CC=C2)C(=O)OC(C)OC(=O)OC1CCCCC1
DB00797,Tolazoline,approved; vet_approved,C(C1=NCCN1)C1=CC=CC=C1
DB00798,Gentamicin,approved; vet_approved,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1
DB00799,Tazarotene,approved; investigational,CCOC(=O)C1=CN=C(C=C1)C#CC1=CC2=C(SCCC2(C)C)C=C1
DB00800,Fenoldopam,approved,OC1=CC=C(C=C1)C1CNCCC2=C(Cl)C(O)=C(O)C=C12
DB00801,Halazepam,approved; illicit; withdrawn,FC(F)(F)CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1
DB00802,Alfentanil,approved; illicit,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O
DB00803,Colistin,approved,CCC(C)CCCC(=O)N[C@@H](CCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)C(NC(=O)[C@@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O
DB00804,Dicyclomine,approved,CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1
DB00805,Minaprine,approved,CC1=CC(=NN=C1NCCN1CCOCC1)C1=CC=CC=C1
DB00806,Pentoxifylline,approved; investigational,CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C
DB00807,Proparacaine,approved; vet_approved,CCCOC1=C(N)C=C(C=C1)C(=O)OCCN(CC)CC
DB00808,Indapamide,approved,CC1CC2=CC=CC=C2N1NC(=O)C1=CC(=C(Cl)C=C1)S(N)(=O)=O
DB00809,Tropicamide,approved; investigational,CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1
DB00810,Biperiden,approved; investigational,OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1
DB00811,Ribavirin,approved,NC(=O)C1=NN(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
DB00812,Phenylbutazone,approved; vet_approved,CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1
DB00813,Fentanyl,approved; illicit; investigational; vet_approved,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1
DB00814,Meloxicam,approved; vet_approved,CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O
DB00816,Orciprenaline,approved,CC(C)NCC(O)C1=CC(O)=CC(O)=C1
DB00817,Rosoxacin,approved; investigational,CCN1C=C(C(O)=O)C(=O)C2=C1C=C(C=C2)C1=CC=NC=C1
DB00818,Propofol,approved; investigational; vet_approved,CC(C)C1=CC=CC(C(C)C)=C1O
DB00819,Acetazolamide,approved; vet_approved,CC(=O)NC1=NN=C(S1)S(N)(=O)=O
DB00820,Tadalafil,approved; investigational,[H][C@]12CC3=C(NC4=CC=CC=C34)[C@H](N1C(=O)CN(C)C2=O)C1=CC2=C(OCO2)C=C1
DB00821,Carprofen,approved; vet_approved; withdrawn,CC(C(O)=O)C1=CC2=C(C=C1)C1=C(N2)C=CC(Cl)=C1
DB00822,Disulfiram,approved,CCN(CC)C(=S)SSC(=S)N(CC)CC
DB00823,Ethynodiol diacetate,approved,[H][C@@]12CC[C@@](OC(C)=O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CC[C@H](OC(C)=O)C=C3CC[C@@]21[H]
DB00824,Enprofylline,approved; experimental,CCCN1C2=C(NC=N2)C(=O)NC1=O
DB00825,Levomenthol,approved,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
DB00826,Natamycin,approved,[H][C@@]12C[C@H](O)C[C@]3(O)C[C@H](O)[C@@H](C(O)=O)[C@]([H])(C[C@@H](O[C@]4([H])O[C@H](C)[C@@H](O)[C@H](N)[C@@H]4O)\C=C\C=C\C=C\C=C\C[C@@H](C)OC(=O)\C=C\[C@@]1([H])O2)O3
DB00827,Cinoxacin,approved; investigational; withdrawn,CCN1N=C(C(O)=O)C(=O)C2=CC3=C(OCO3)C=C12
DB00828,Fosfomycin,approved,C[C@@H]1O[C@@H]1P(O)(O)=O
DB00829,Diazepam,approved; illicit; investigational; vet_approved,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1
DB00830,Phenmetrazine,approved; illicit,CC1NCCOC1C1=CC=CC=C1
DB00831,Trifluoperazine,approved; investigational,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1
DB00832,Phensuximide,approved,CN1C(=O)CC(C1=O)C1=CC=CC=C1
DB00833,Cefaclor,approved,[H][C@]12SCC(Cl)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
DB00834,Mifepristone,approved; investigational,[H][C@@]12CC[C@@](O)(C#CC)[C@@]1(C)C[C@H](C1=CC=C(C=C1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@]21[H]
DB00835,Brompheniramine,approved,CN(C)CCC(C1=CC=C(Br)C=C1)C1=CC=CC=N1
DB00836,Loperamide,approved,CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1
DB00838,Clocortolone,approved,[H][C@@]12C[C@@H](C)[C@H](C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
DB00839,Tolazamide,approved; investigational,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CCCCCC1
DB00841,Dobutamine,approved,CC(CCC1=CC=C(O)C=C1)NCCC1=CC(O)=C(O)C=C1
DB00842,Oxazepam,approved,OC1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2
DB00843,Donepezil,approved,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1
DB00844,Nalbuphine,approved,O[C@H]1CC[C@@]2(O)[C@H]3CC4=CC=C(O)C5=C4[C@@]2(CCN3CC2CCC2)[C@H]1O5
DB00845,Clofazimine,approved; investigational,CC(C)N=C1C=C2N(C3=CC=C(Cl)C=C3)C3=C(C=CC=C3)N=C2C=C1NC1=CC=C(Cl)C=C1
DB00846,Flurandrenolide,approved,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
DB00847,Cysteamine,approved; investigational,NCCS
DB00848,Levamisole,approved; investigational; vet_approved; withdrawn,C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1
DB00849,Methylphenobarbital,approved,CCC1(C(=O)NC(=O)N(C)C1=O)C1=CC=CC=C1
DB00850,Perphenazine,approved,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
DB00851,Dacarbazine,approved; investigational,CN(C)\N=N\C1=C(N=CN1)C(N)=O
DB00852,Pseudoephedrine,approved,CN[C@@H](C)[C@@H](O)C1=CC=CC=C1
DB00853,Temozolomide,approved; investigational,CN1N=NC2=C(N=CN2C1=O)C(N)=O
DB00854,Levorphanol,approved,[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2
DB00855,Aminolevulinic acid,approved,NCC(=O)CCC(O)=O
DB00856,Chlorphenesin,approved; experimental,OCC(O)COC1=CC=C(Cl)C=C1
DB00857,Terbinafine,approved; investigational; vet_approved,CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12
DB00859,Penicillamine,approved,[H][C@](N)(C(O)=O)C(C)(C)S
DB00860,Prednisolone,approved; vet_approved,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
DB00861,Diflunisal,approved; investigational,OC(=O)C1=C(O)C=CC(=C1)C1=C(F)C=C(F)C=C1
DB00862,Vardenafil,approved,CCCC1=NC(C)=C2N1NC(=NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(CC)CC1
DB00863,Ranitidine,approved; withdrawn,CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O
DB00864,Tacrolimus,approved; investigational,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC
DB00865,Benzphetamine,approved; illicit,C[C@@H](CC1=CC=CC=C1)N(C)CC1=CC=CC=C1
DB00867,Ritodrine,approved; investigational,C[C@H](NCCC1=CC=C(O)C=C1)[C@H](O)C1=CC=C(O)C=C1
DB00868,Benzonatate,approved,CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC
DB00869,Dorzolamide,approved,CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
DB00870,Suprofen,approved; withdrawn,CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1
DB00871,Terbutaline,approved,CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1
DB00872,Conivaptan,approved; investigational,CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1
DB14596,Loteprednol etabonate,approved,[H][C@@]12CC[C@](OC(=O)OCC)(C(=O)OCCl)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
DB00874,Guaifenesin,approved; investigational; vet_approved,COC1=CC=CC=C1OCC(O)CO
DB00875,Flupentixol,approved; investigational; withdrawn,[H]\C(CCN1CCN(CCO)CC1)=C1/C2=CC=CC=C2SC2=C1C=C(C=C2)C(F)(F)F
DB00876,Eprosartan,approved,CCCCC1=NC=C(\C=C(/CC2=CC=CS2)C(O)=O)N1CC1=CC=C(C=C1)C(O)=O
DB00877,Sirolimus,approved; investigational,[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](O)[C@@H](C1)OC
DB00878,Chlorhexidine,approved; vet_approved,ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1
DB00879,Emtricitabine,approved; investigational,NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1
DB00880,Chlorothiazide,approved; vet_approved,NS(=O)(=O)C1=C(Cl)C=C2NC=NS(=O)(=O)C2=C1
DB00881,Quinapril,approved; investigational,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC=CC=C2C[C@H]1C(O)=O
DB00882,Clomifene,approved; investigational,CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1
DB00883,Isosorbide dinitrate,approved; investigational,[H][C@]12OC[C@H](O[N+]([O-])=O)[C@@]1([H])OC[C@H]2O[N+]([O-])=O
